PP,Date,Time,Task,Auditory,Visual,epsilon,trial,TEstim,TEpp,dimstim,dimpp,taustim,taupp,C,rmse,tau,cbyrmse,dimhatstim,dimhatpp,tauhatstim,tauhatpp,permtest12,permtest21,interactdelay12,interactdelay21,surrprop12,surrprop21
4,200122,104139,3,1,0,0.7,29,-0.0260955894969521,-0.00087959503923396,3,3,0.574468085106383,0.553191489361702,0.3,0.405,-0.069,1.351,7,7,0.179521276595745,0.179521276595745,NaN,NaN,90,10,0.00512820512820513,0.933333333333333
4,200122,104246,3,1,0,0.7,30,-0.00502610948687021,0.00940477933195938,3,3,0.574468085106383,0.595744680851064,0.392,0.47,0.047,1.2,7,7,0.179521276595745,0.199468085106383,NaN,NaN,90,10,0.683760683760684,1
4,200122,105211,3,1,0,0.7,31,-0.00469924409860578,-0.00184031551626518,3,3,0.574468085106383,0.574468085106383,0.297,0.394,-0.008,1.327,7,7,0.179521276595745,0.159574468085106,NaN,NaN,90,10,0.708547008547009,0.892307692307692
4,200122,105505,3,1,0,0.7,32,-0.00855352992679426,-0.0180030116198129,3,3,0.574468085106383,0.659574468085106,0.413,0.546,-0.039,1.323,7,7,0.199468085106383,0.219414893617021,NaN,NaN,90,10,0.437606837606838,0.0179487179487179
4,200122,105631,3,1,0,0.7,33,-0.012154519928598,-0.00557193755556007,3,3,0.553191489361702,0.553191489361702,0.435,0.497,-0.039,1.141,7,7,0.159574468085106,0.139627659574468,NaN,NaN,90,10,0.230769230769231,0.698290598290598
4,200122,105739,3,1,0,0.7,34,0.00296494271011438,-0.0100355014757763,3,3,0.574468085106383,0.595744680851064,0.345,0.488,-0.086,1.415,7,7,0.179521276595745,0.159574468085106,NaN,NaN,90,10,0.977777777777778,0.324786324786325
4,200122,105857,3,1,0,0.7,35,-0.0226679907128111,-0.00481994301761279,3,3,0.553191489361702,0.617021276595745,0.37,0.496,-0.174,1.342,7,7,0.179521276595745,0.199468085106383,NaN,NaN,90,10,0.0136752136752137,0.745299145299145
4,200122,110012,3,1,0,0.7,36,-0.0264767727380606,-0.0048924834401054,3,3,0.617021276595745,0.680851063829787,0.359,0.468,-0.085,1.303,7,7,0.199468085106383,0.219414893617021,NaN,NaN,90,10,0.00341880341880342,0.743589743589744
4,200122,110121,3,1,0,0.7,37,-0.0171314404163589,-0.0043938296683077,3,3,0.595744680851064,0.680851063829787,0.402,0.525,-0.17,1.307,7,7,0.199468085106383,0.199468085106383,NaN,NaN,90,10,0.0717948717948718,0.773504273504274
4,200122,110232,3,1,0,0.7,38,-0.0173080549135207,-0.0134419191889634,3,3,0.617021276595745,0.893617021276596,0.337,0.434,-0.147,1.288,7,7,0.199468085106383,0.219414893617021,NaN,NaN,90,10,0.0675213675213675,0.11965811965812
4,200122,110354,3,1,0,0.7,39,-0.0109025155563316,-0.004546094593044,3,3,0.617021276595745,0.680851063829787,0.353,0.418,-0.24,1.184,7,7,0.179521276595745,0.179521276595745,NaN,NaN,90,10,0.291452991452991,0.766666666666667
5,200122,122400,2,1,0,0,1,0.00318021227005016,-0.00873355598034808,3,3,0.408163265306122,0.408163265306122,0.296,0.491,-0.017,1.66,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.970833333333333,0.540833333333333
5,200122,122525,2,1,0,0,2,0.00367537614110125,-0.0176279228170153,3,3,0.408163265306122,0.408163265306122,0.368,0.609,0.058,1.656,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.98,0.00166666666666667
5,200122,122640,2,1,0,0,3,-0.00934021035514365,-0.00738774020353294,3,3,0.387755102040816,0.387755102040816,0.274,0.538,-0.065,1.962,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.231666666666667,0.7
5,200122,122751,2,1,0,0,4,-0.00192023058974788,-0.00790450510710472,3,3,0.408163265306122,0.408163265306122,0.265,0.561,-0.082,2.122,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.789166666666667,0.645833333333333
5,200122,122904,2,1,0,0,5,-0.00801814071495444,-0.0104259261232902,3,3,0.387755102040816,0.408163265306122,0.246,0.495,-0.011,2.013,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.324166666666667,0.309166666666667
5,200122,123016,2,1,0,0,6,-0.00109453930886039,-0.0108281183946681,3,3,0.408163265306122,0.428571428571429,0.235,0.581,-0.012,2.467,5,5,0.153061224489796,0.133928571428571,NaN,NaN,190,50,0.834166666666667,0.265
5,200122,123135,2,1,0,0,7,-0.00503108895644244,-0.0109434348401589,3,3,0.408163265306122,0.408163265306122,0.218,0.581,-0.139,2.664,5,5,0.153061224489796,0.153061224489796,NaN,NaN,190,50,0.5625,0.249166666666667
