"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","te12rescaled_PreTest","te12rescaled_PostTest","te12rescaled_Retention","te21rescaled_PreTest","te21rescaled_PostTest","te21rescaled_Retention"
"19","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.2738,0.382,0.2898,0.9344,0.896,0.9066,3.4998,2.39066666666667,3.1666,0.780306351344384,0.423949396803273,-0.207392903728272,-0.131159080227568,0.183782423536805,-1.15602986055111
"19","Periodic Fixed","Chaotic Non-interactive",0.4685,0.409,0.2798,0.7765,0.827333333333333,0.9056,1.66925,2.06033333333333,3.2714,0.014045903295085,2.1211050003716,1.02779025985249,0.890512630492107,1.1808580305155,-0.521017079675768
"20","Chaotic","Chaotic Non-interactive",0.2168,0.246666666666667,0.34,0.3652,0.366333333333333,0.4222,1.7032,1.50266666666667,1.2476,3.12105388884297,3.90709521828433,4.51174111728343,-0.15695500213024,0.0471293034995424,0.832893306100678
"20","Chaotic Visual","Chaotic Non-interactive",1.6468,1.44533333333333,1.725,0.5834,0.516333333333333,0.5972,0.3554,0.357,0.3474,4.09919316190591,5.36861978867153,5.75010080994711,1.32537033721631,1.58778633010874,1.95650866996685
"20","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.358,0.365333333333333,0.4014,0.8514,0.903666666666667,0.9078,2.5688,2.517,2.287,0.57409074901147,0.419064609839024,0.575916331675512,-0.476369760116678,-0.96126442714518,-0.0751774472747492
"20","Periodic Fixed","Chaotic Non-interactive",0.3566,0.358,0.3392,0.8202,0.794666666666667,0.6492,2.3198,2.25566666666667,1.915,-0.415071481470683,0.13815578491939,-0.573555077229594,-0.740150532997555,-0.275868010529082,0.0885885976964222
"21","Chaotic","Periodic Fixed",0.2696,0.419,0.4034,0.4914,0.538,0.5724,1.8272,1.286,1.4718,1.83034614691784,4.07127229025285,4.62319344824553,0.248565075022805,1.6415605862806,0.967671525715687
"21","Chaotic Visual","Periodic Fixed",1.366,1.349,1.6384,0.6004,0.615333333333333,0.6052,0.4412,0.462,0.3706,3.02338362189689,5.01832315878757,4.8952967376994,0.669195596597862,1.44797866842973,1.55985628232842
"21","Periodic Fadeout (SCT)","Periodic Fixed",0.1802,0.190666666666667,0.3264,0.6748,0.719333333333333,0.8028,3.8516,3.82466666666667,2.563,-0.567778691188227,1.72372620098081,1.47315972866838,-0.186131083418602,0.605437217073744,0.357132158872619
"21","Periodic Fixed","Periodic Fixed",0.2568,0.420333333333333,0.4638,0.5538,0.759333333333333,0.779,2.2116,1.833,1.7318,-1.26591960838915,1.26165685197128,-0.1072604663732,0.162874015128512,0.949041510756925,0.729736331443338
