"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","TE S-U Delta% PostTest","TE S-U Delta% Retention","TE U-S Delta% PostTest","TE U-S Delta% Retention"
"14","Chaotic","Chaotic Interactive",13.5847038374114,0.641797031688736,-18.5643564356436,-8.2920792079208,40.4072883172562,10.1607717041801,41.5415146848704,146.231292373487,-25.7643365822385,38.2957777572648
"14","Chaotic Visual","Chaotic Interactive",11.8058109599117,6.32585509378448,-7.08478513356561,-2.04081632653061,20.4388560157791,8.74260355029585,-16.6561896962946,20.8063208926829,-2251.3796805002,-1120.64565177043
"14","Periodic Fadeout (SCT)","Chaotic Interactive",38.8706500328299,41.7596848325673,-46.2193643953676,-62.5908968489092,167.127799736495,287.549407114625,-470.36425527091,-108.179813767822,-114.661096426349,-151.013910402555
"14","Periodic Fixed","Chaotic Interactive",21.7948717948718,-1.57790927021697,-28.6411249820634,5.77701248385708,66.6666666666667,-10.0883652430044,-12.7374439583119,-33.7141181315471,-785.177313903753,-1923.87288237486
"15","Chaotic","Periodic Fixed",0.668950889215201,8.61478218306411,-8.82183456440883,-4.43187175860443,9.94007026245093,13.7011779293242,28.1595918238058,-9.62976928745769,5.24263306239411,-143.868251220239
"15","Chaotic Visual","Periodic Fixed",5.16297882464905,7.85153461812991,-1.38674884437597,-2.51669234720083,6.03337020648969,10.329092920354,50.244072825818,38.5526310469211,18.02053734317,32.3368203696754
"15","Periodic Fadeout (SCT)","Periodic Fixed",28.9804265264388,34.7648261758691,-35.1135512852508,-38.3266783129523,89.5280235988201,106.814159292035,-345.761028608952,-133.553199164432,453.55012770524,-994.27054988162
"15","Periodic Fixed","Periodic Fixed",0.284639625902208,10.3385178408051,-10.2971195282377,-17.8385121342708,21.3862765586904,34.0647857889237,65.0275917017725,-30.2175384933723,-153.318772408427,128.10737824104
"17","Chaotic","Chaotic Interactive",9.81379731379731,-6.59340659340659,-24.2739488513221,-22.1716514954486,42.6924850161364,17.9806362378976,231.067490950007,136.467659914489,-590.774128417496,-471.901209580578
"17","Chaotic Visual","Chaotic Interactive",-20.8057395143488,-14.4039735099338,-5.25055584060201,-8.31195484864032,-13.8474832577231,-5.71613739468567,10.285598229944,-29.0603259578685,366.560770243867,75.2798815562635
"17","Periodic Fadeout (SCT)","Chaotic Interactive",0.861212321960911,-13.9118913547532,-16.8107213888734,-12.0336809234372,21.727237202032,-2.93083235638922,-148.943632468704,-22.9483637342434,-137.701325261111,-11.4030444912572
"17","Periodic Fixed","Chaotic Interactive",-6.29588839941262,-0.605726872246691,1.12617383322743,-24.1050624867613,-2.04678362573098,30.2373581011352,-216.837355863262,-67.2931139856375,-1424.71405785329,-4894.91883211883
"18","Chaotic","Periodic Fixed",-6.84068406840684,-21.6921692169217,-24.6442038681426,6.54421603211288,19.6795791487327,-28.5509325681492,-0.335808988533304,-36.4601098003578,-51.8762729606535,-46.8963201916111
"18","Chaotic Visual","Periodic Fixed",-8.58843537414965,12.6457725947522,-5.75053550832097,-4.89372219476025,-3.27796560341026,18.1831544906659,20.0695779845079,-16.935290519595,-67.4845231946864,-127.927730219054
"18","Periodic Fadeout (SCT)","Periodic Fixed",12.2070477153937,11.2291350531108,-35.2286722190912,-35.562652639489,70.5087440381558,70.3497615262321,-14.3236968209554,-143.076485827271,-11.8782240466881,-86.7711060848505
"18","Periodic Fixed","Periodic Fixed",2.49510763209393,-30.7485322896282,17.7084368478585,7.09529961244161,-11.952779144122,-35.120511559272,-76.6445560114513,-109.872170201134,142.241595891923,192.233367097213
"19","Chaotic","Chaotic Non-interactive",3.09193121693122,0.446428571428564,-12.7204096716292,-27.9458346531517,20.6683168316832,42.0792079207921,61.7714075265638,59.3441637299158,-74.1419876952999,-16.4335073522752
"19","Chaotic Visual","Chaotic Non-interactive",8.64157473502055,1.52498377676834,-5.23758099352053,-4.6976241900648,14.1137550320858,6.13416238192036,-5.40124276055014,7.06196700855879,72.0561783211055,-46.1288584555835
