"pp","task_label","training_phase_label","score","c","pitch_error","te12rescaled","te21rescaled","Training"
"9","Chaotic Visual","PostTest",1.951,0.763666666666667,0.391333333333333,4.1230957472998,1.16051592264976,"Chaotic Non-interactive"
"9","Chaotic Visual","Retention",1.8606,0.7874,0.4236,5.30573667995497,1.23969197005245,"Chaotic Non-interactive"
"9","Periodic Fadeout (SCT)","PreTest",0.3544,0.9034,2.554,-0.361726321658272,-1.04901855087173,"Chaotic Non-interactive"
"9","Periodic Fadeout (SCT)","PostTest",0.411666666666667,0.903666666666667,2.19666666666667,-0.0385534263677473,1.73029724528132,"Chaotic Non-interactive"
"9","Periodic Fadeout (SCT)","Retention",0.3644,0.8962,2.4796,0.762781179352167,-0.241293025260598,"Chaotic Non-interactive"
"9","Periodic Fixed","PreTest",0.3522,0.7552,2.3358,-0.200398807878383,-0.441312819271155,"Chaotic Non-interactive"
"9","Periodic Fixed","PostTest",0.307666666666667,0.702666666666667,2.35133333333333,-0.244657965004682,-0.549954627116048,"Chaotic Non-interactive"
"9","Periodic Fixed","Retention",0.4098,0.8936,2.4626,1.30160466441291,-0.75981254130783,"Chaotic Non-interactive"
"10","Chaotic","PreTest",0.4038,0.5066,1.2598,5.82213306799708,1.03719764551451,"Chaotic Interactive"
"10","Chaotic","PostTest",0.519333333333333,0.569,1.126,4.01061703675878,1.29177179895173,"Chaotic Interactive"
"10","Chaotic","Retention",0.4254,0.5404,1.2814,4.63210944817027,1.2847396279192,"Chaotic Interactive"
"10","Chaotic Visual","PreTest",1.6238,0.5666,0.352,4.58443358666939,1.93681861587328,"Chaotic Interactive"
"10","Chaotic Visual","PostTest",1.912,0.609666666666667,0.320666666666667,4.68864355328214,1.1231230544224,"Chaotic Interactive"
"10","Chaotic Visual","Retention",1.8846,0.6098,0.3242,5.40654048219947,1.76488634278311,"Chaotic Interactive"
"10","Periodic Fadeout (SCT)","PreTest",0.5274,0.9486,1.9218,0.581827047348609,-0.0318526558315118,"Chaotic Interactive"
"10","Periodic Fadeout (SCT)","PostTest",0.835666666666667,0.968333333333333,1.16066666666667,-0.0814797455777707,0.276041919386416,"Chaotic Interactive"
"10","Periodic Fadeout (SCT)","Retention",0.8275,0.965,1.1775,0.103972442179054,-0.604186455018888,"Chaotic Interactive"
"10","Periodic Fixed","PreTest",0.6492,0.9518,1.5158,0.817514888943123,-0.0843680725145926,"Chaotic Interactive"
"10","Periodic Fixed","PostTest",0.508666666666667,0.875,1.74,0.793930415162772,0.54950564625706,"Chaotic Interactive"
"10","Periodic Fixed","Retention",0.7776,0.9634,1.5364,0.596443998789192,0.317045278828103,"Chaotic Interactive"
"11","Chaotic","PreTest",0.1676,0.2926,1.7952,2.18320833730594,-0.0166140962157708,"Periodic Fixed"
"11","Chaotic","PostTest",0.120666666666667,0.247,2.07033333333333,4.0315758286511,0.191206806249502,"Periodic Fixed"
"11","Chaotic","Retention",0.177,0.2594,1.4648,2.86659727691492,0.125505431696164,"Periodic Fixed"
"11","Chaotic Visual","PreTest",1.0432,0.4626,0.444,2.12468894125722,-0.610049412038208,"Periodic Fixed"
"11","Chaotic Visual","PostTest",1.24566666666667,0.592333333333333,0.475,1.89430836916488,-0.300439895287972,"Periodic Fixed"
"11","Chaotic Visual","Retention",1.3334,0.6328,0.4774,2.62112770263262,1.34099795513219,"Periodic Fixed"
"11","Periodic Fadeout (SCT)","PreTest",0.2072,0.6302,3.225,0.205117338518893,0.151983342657318,"Periodic Fixed"
"11","Periodic Fadeout (SCT)","PostTest",0.336666666666667,0.815666666666667,2.44533333333333,0.846088508182642,0.244655646319787,"Periodic Fixed"
"11","Periodic Fadeout (SCT)","Retention",0.4708,0.8876,1.8928,0.123826342590283,-0.211144171779373,"Periodic Fixed"
"11","Periodic Fixed","PreTest",0.2426,0.5598,2.3552,-0.953646824370096,1.52047123728596,"Periodic Fixed"
"11","Periodic Fixed","PostTest",0.43,0.791333333333333,1.89366666666667,0.516959137878313,0.426546774751562,"Periodic Fixed"
"11","Periodic Fixed","Retention",0.4518,0.8428,1.8846,0.253442516731393,0.0810905140926374,"Periodic Fixed"
"12","Chaotic","PreTest",0.3586,0.5344,1.534,2.62295653709386,1.0377978460396,"Chaotic Non-interactive"
"12","Chaotic","PostTest",0.393,0.508,1.31466666666667,5.63341378754006,2.61449607207425,"Chaotic Non-interactive"
"12","Chaotic","Retention",0.4284,0.5128,1.199,4.90354129128177,1.05139239003625,"Chaotic Non-interactive"
"12","Chaotic Visual","PreTest",1.57,0.6464,0.4122,3.0807732768543,1.59334938698404,"Chaotic Non-interactive"
"12","Chaotic Visual","PostTest",1.433,0.604,0.423,4.2712990147133,1.35817368597704,"Chaotic Non-interactive"
"12","Chaotic Visual","Retention",1.3556,0.5342,0.3946,5.68705949554356,1.49729370213989,"Chaotic Non-interactive"
"12","Periodic Fadeout (SCT)","PreTest",0.3372,0.8524,2.5426,0.100409396810755,-0.0979787163883945,"Chaotic Non-interactive"
"12","Periodic Fadeout (SCT)","PostTest",0.450666666666667,0.912333333333333,2.062,0.256266478001869,0.568084743809857,"Chaotic Non-interactive"
"12","Periodic Fadeout (SCT)","Retention",0.3344,0.8396,2.526,0.11310556279914,-0.196319387189184,"Chaotic Non-interactive"
"12","Periodic Fixed","PreTest",0.1214,0.3596,3.0412,-0.918286338084137,0.0713580607531586,"Chaotic Non-interactive"
"12","Periodic Fixed","PostTest",0.262666666666667,0.862666666666667,3.32066666666667,0.905916976722189,0.459399271394319,"Chaotic Non-interactive"
"12","Periodic Fixed","Retention",0.3712,0.787,2.1292,-0.403806245804406,0.914094426416093,"Chaotic Non-interactive"
"13","Chaotic","PreTest",0.1954,0.4012,2.115,0.988942002203929,-0.170797550898875,"Periodic Fixed"
"13","Chaotic","PostTest",0.171,0.360666666666667,2.09433333333333,2.30775044778514,0.992340300539275,"Periodic Fixed"
"13","Chaotic","Retention",0.229,0.3448,1.5306,2.65438940314105,-0.404614282265934,"Periodic Fixed"
"13","Chaotic Visual","PreTest",1.3186,0.5052,0.3832,3.60205007668034,1.06003094014498,"Periodic Fixed"
"13","Chaotic Visual","PostTest",1.40433333333333,0.490333333333333,0.349,2.67717861778322,0.756581080891418,"Periodic Fixed"
"13","Chaotic Visual","Retention",1.4768,0.5454,0.371,4.31343000524885,1.85235729889519,"Periodic Fixed"
