"file_name","pp","day","date","task_code","training_phase","training_phase_label","visual","score","c","tau","pitch_error","te12rescaled","te21rescaled","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","pre_testimtouser","pre_teusertostim","score_delta","c_delta","tau_delta","pitch_error_delta","testimtouser_delta","teusertostim_delta"
"trial_log-200205-093300_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093300","11",2,"Retention",0,0.877,0.941,-0.143,1.073,-0.0197472221999599,0.784320771425604,"25","Chaotic Interactive","Periodic Fixed",2,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,0.572248117604876,0.148999574286926,183.730158730159,-38.3120616304473,-101.628478865949,-34.8315121450021
"trial_log-200205-093406_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093406","11",2,"Retention",0,0.53,0.941,0.087,1.775,1.06865412886776,-0.878573486464374,"25","Chaotic Interactive","Periodic Fixed",3,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,-0.0498386518465401,0.148999574286926,-272.619047619048,2.04668276417154,-11.8721283303673,-172.999858818361
"trial_log-200205-093513_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093513","11",2,"Retention",0,0.553,0.959,0.285,1.735,1.10467127716455,0.326795667916043,"25","Chaotic Interactive","Periodic Fixed",4,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,-0.00860523485120119,2.06470838654746,-665.47619047619,-0.252960791077381,-8.90193008075345,-72.8468500497023
"trial_log-200205-093620_task011_aud1_vis0_eps000_pp4_d2_test_SCT","4",2,"200205-093620","11",2,"Retention",0,0.57,0.945,-0.132,1.656,2.06917437441506,0.113278199443389,"25","Chaotic Interactive","Periodic Fixed",5,0.5578,0.9396,-0.0504,1.7394,1.21261765276013,1.20352765154033,0.021871638580136,0.574712643678157,161.904761904762,-4.79475681269404,70.6369991979959,-90.5878191250189
"trial_log-200129-133108_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133108","11",-1,"PreTest",0,0.383,0.778,0.12,2.032,-0.0370241456461817,-1.60806796297037,"30","Chaotic Non-interactive","Periodic Fixed",1,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,0.0295698924731183,-2.57951414976208,-337.154150197628,-5.43559195830231,-84.762001091025,-2180.6857923087
"trial_log-200129-133212_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133212","11",-1,"PreTest",0,0.407,0.906,-0.018,2.224,0.490882952810287,0.647710512214967,"30","Chaotic Non-interactive","Periodic Fixed",2,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,0.0940860215053763,13.4485349361383,-64.4268774703557,3.49962769918095,-302.032316176593,738.075312317819
"trial_log-200129-133315_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133315","11",-1,"PreTest",0,0.267,0.526,-0.205,1.974,-1.63721346804505,-0.648288985240809,"30","Chaotic Non-interactive","Periodic Fixed",3,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,-0.282258064516129,-34.1347357876283,305.138339920949,-8.13477289650038,573.826677278172,-938.823800959978
"trial_log-200129-133419_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133419","11",-1,"PreTest",0,0.352,0.9,-0.015,2.554,0.0620191591555479,0.50989671541342,"30","Chaotic Non-interactive","Periodic Fixed",4,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,-0.0537634408602151,12.6972201352367,-70.3557312252964,18.8570364854803,-125.525177233772,559.75747029115
"trial_log-200129-133523_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133523","11",-1,"PreTest",0,0.451,0.883,-0.135,1.96,-0.0935269571626545,1.48517711123318,"30","Chaotic Non-interactive","Periodic Fixed",5,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,0.212365591397849,10.5684948660155,166.798418972332,-8.78629932985853,-61.5071827767818,1821.67681065971
"trial_log-200129-145621_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-145621","11",1,"PostTest",0,0.634,0.899,0.202,1.419,1.24032298724515,1.43983215673359,"30","Chaotic Non-interactive","Periodic Fixed",1,0.372,0.7986,-0.0506,2.1488,-0.24297249177761,0.0772854781300776,0.704301075268817,12.5720010017531,-499.209486166008,-33.9631422189129,-610.478769909642,1763.00478637169
