FileName,PP,Day,Date,TaskCode,TrainingPhase,TrainingPhaseLabel,Visual,Score,C,tau,PitchError,TE12rescaled,TE21rescaled
trial_log-200123-151732_task011_aud1_vis0_eps000_pp7_d2_test_SCT,7,2,200123-151732,11,2,Retention,0,0.295,0.891,0.026,3.017,-0.115432143546012,-0.724442469094426
trial_log-200123-151840_task011_aud1_vis0_eps000_pp7_d2_test_SCT,7,2,200123-151840,11,2,Retention,0,0.223,0.783,-0.108,3.505,-0.998587893573846,0.600876226713041
trial_log-200123-151946_task011_aud1_vis0_eps000_pp7_d2_test_SCT,7,2,200123-151946,11,2,Retention,0,0.162,0.559,-0.385,3.449,-0.338912690154126,0.651383028543743
trial_log-200123-152053_task011_aud1_vis0_eps000_pp7_d2_test_SCT,7,2,200123-152053,11,2,Retention,0,0.198,0.751,-0.132,3.793,-0.747397357866872,-0.549989742052175
trial_log-200123-152159_task011_aud1_vis0_eps000_pp7_d2_test_SCT,7,2,200123-152159,11,2,Retention,0,0.17,0.633,-0.177,3.722,-0.0443770243172722,-0.0791596795814386
trial_log-200123-093032_task011_aud1_vis0_eps000_pp8_d1_test_SCT,8,1,200123-093032,11,-1,PreTest__,0,0.338,0.952,-0.192,2.818,0.324507740841823,0.654080584391184
trial_log-200123-093136_task011_aud1_vis0_eps000_pp8_d1_test_SCT,8,1,200123-093136,11,-1,PreTest__,0,0.33,0.863,-0.207,2.613,0.281883192336973,0.0356743198688306
trial_log-200123-093239_task011_aud1_vis0_eps000_pp8_d1_test_SCT,8,1,200123-093239,11,-1,PreTest__,0,0.427,0.943,-0.407,2.211,1.34208309443969,1.75124717590403
trial_log-200123-093400_task011_aud1_vis0_eps000_pp8_d1_test_SCT,8,1,200123-093400,11,-1,PreTest__,0,0.54,0.855,-0.225,1.582,-0.15289270870326,-0.670352826351191
trial_log-200123-093504_task011_aud1_vis0_eps000_pp8_d1_test_SCT,8,1,200123-093504,11,-1,PreTest__,0,0.427,0.803,-0.108,1.881,-0.568105413771404,-2.33439041008474
trial_log-200123-104400_task011_aud1_vis0_eps000_pp8_d1_test_SCT,8,1,200123-104400,11,1,PostTest_,0,0.362,0.845,0.061,2.337,-0.804157255578565,0.783972370024808
trial_log-200123-104504_task011_aud1_vis0_eps000_pp8_d1_test_SCT,8,1,200123-104504,11,1,PostTest_,0,0.588,0.895,-0.012,1.521,-0.158510082801447,0.291667299370392
trial_log-200123-104608_task011_aud1_vis0_eps000_pp8_d1_test_SCT,8,1,200123-104608,11,1,PostTest_,0,0.453,0.886,-0.194,1.955,-0.375380680537181,-0.937677024040336
trial_log-200124-103210_task011_aud1_vis0_eps000_pp8_d2_test_SCT,8,2,200124-103210,11,2,Retention,0,0.408,0.931,-0.345,2.283,0.487870586560349,-1.2971735748916
trial_log-200124-103316_task011_aud1_vis0_eps000_pp8_d2_test_SCT,8,2,200124-103316,11,2,Retention,0,0.286,0.925,0.302,3.23,1.15624776137564,0.752750100401703
trial_log-200124-103422_task011_aud1_vis0_eps000_pp8_d2_test_SCT,8,2,200124-103422,11,2,Retention,0,0.34,0.851,-0.101,2.501,-0.454151160731258,-0.940988497715166
trial_log-200124-103532_task011_aud1_vis0_eps000_pp8_d2_test_SCT,8,2,200124-103532,11,2,Retention,0,0.367,0.925,0.201,2.52,0.950265889978271,-0.20664410033679
trial_log-200124-103638_task011_aud1_vis0_eps000_pp8_d2_test_SCT,8,2,200124-103638,11,2,Retention,0,0.285,0.825,-0.288,2.889,-0.509542351503017,-0.634849509836283
trial_log-200217-091046_task011_aud1_vis0_eps000_pp9_d1_test_SCT,9,1,200217-091046,11,-1,PreTest__,0,0.42,0.832,0.164,1.984,0.460584277651043,-1.7880730708658
trial_log-200217-091150_task011_aud1_vis0_eps000_pp9_d1_test_SCT,9,1,200217-091150,11,-1,PreTest__,0,0.553,0.809,-0.095,1.462,0.589669648447038,-0.157177005321795
trial_log-200217-091253_task011_aud1_vis0_eps000_pp9_d1_test_SCT,9,1,200217-091253,11,-1,PreTest__,0,0.32,0.706,-0.018,2.208,-1.52540395350026,-1.41892905489998
trial_log-200217-091357_task011_aud1_vis0_eps000_pp9_d1_test_SCT,9,1,200217-091357,11,-1,PreTest__,0,0.203,0.544,-0.049,2.681,-0.457302265180821,0.20970810944309
trial_log-200217-091500_task011_aud1_vis0_eps000_pp9_d1_test_SCT,9,1,200217-091500,11,-1,PreTest__,0,0.265,0.885,-0.246,3.344,-0.0695417468089142,0.947906925288712
trial_log-200217-103101_task011_aud1_vis0_eps000_pp9_d1_test_SCT,9,1,200217-103101,11,1,PostTest_,0,0.433,0.881,0.082,2.034,0.293915493578531,-0.374497645552584
trial_log-200217-103205_task011_aud1_vis0_eps000_pp9_d1_test_SCT,9,1,200217-103205,11,1,PostTest_,0,0.261,0.617,0.27,2.36,-0.637710524671476,-0.855191207171491
trial_log-200217-103327_task011_aud1_vis0_eps000_pp9_d1_test_SCT,9,1,200217-103327,11,1,PostTest_,0,0.229,0.61,-0.153,2.66,-0.3901788639211,-0.420175028624068
trial_log-200218-111058_task011_aud1_vis0_eps000_pp9_d2_test_SCT,9,2,200218-111058,11,2,Retention,0,0.415,0.858,0.082,2.067,1.16179601813174,-2.13845781555739
trial_log-200218-111201_task011_aud1_vis0_eps000_pp9_d2_test_SCT,9,2,200218-111201,11,2,Retention,0,0.728,0.924,-0.062,1.269,1.73076486065322,1.10241487565657
trial_log-200218-111304_task011_aud1_vis0_eps000_pp9_d2_test_SCT,9,2,200218-111304,11,2,Retention,0,0.345,0.918,-0.088,2.664,1.19778615383762,-1.43753507480846
trial_log-200218-111408_task011_aud1_vis0_eps000_pp9_d2_test_SCT,9,2,200218-111408,11,2,Retention,0,0.271,0.863,0.209,3.187,1.06166226293292,0.119249778970989
trial_log-200218-111512_task011_aud1_vis0_eps000_pp9_d2_test_SCT,9,2,200218-111512,11,2,Retention,0,0.29,0.905,0.149,3.126,1.35601402650906,-1.44473447080086
trial_log-200127-093900_task011_aud1_vis0_eps000_pp10_d1_test_SCT,10,1,200127-093900,11,-1,PreTest__,0,0.889,0.963,0.092,1.084,1.20447357048941,0.124529885795935
trial_log-200127-094009_task011_aud1_vis0_eps000_pp10_d1_test_SCT,10,1,200127-094009,11,-1,PreTest__,0,0.671,0.946,-0.018,1.409,0.684837961777341,1.51876969406977
trial_log-200127-094116_task011_aud1_vis0_eps000_pp10_d1_test_SCT,10,1,200127-094116,11,-1,PreTest__,0,0.604,0.95,0.043,1.574,1.62324478951477,0.685807884591762
trial_log-200127-094221_task011_aud1_vis0_eps000_pp10_d1_test_SCT,10,1,200127-094221,11,-1,PreTest__,0,0.55,0.944,-0.035,1.716,0.465648752920315,-1.28480086351086
trial_log-200127-094327_task011_aud1_vis0_eps000_pp10_d1_test_SCT,10,1,200127-094327,11,-1,PreTest__,0,0.532,0.956,-0.013,1.796,0.109369370013778,-1.46614696351957
trial_log-200127-111407_task011_aud1_vis0_eps000_pp10_d1_test_SCT,10,1,200127-111407,11,1,PostTest_,0,0.439,0.725,0.058,1.651,-0.452348125406783,-0.809042133587884
trial_log-200127-111512_task011_aud1_vis0_eps000_pp10_d1_test_SCT,10,1,200127-111512,11,1,PostTest_,0,0.469,0.966,0.222,2.058,1.34249394629,0.831613843150474
trial_log-200127-111618_task011_aud1_vis0_eps000_pp10_d1_test_SCT,10,1,200127-111618,11,1,PostTest_,0,0.618,0.934,0.083,1.511,1.4916454246051,1.62594522920859
trial_log-200128-122002_task011_aud1_vis0_eps000_pp10_d2_test_SCT,10,2,200128-122002,11,2,Retention,0,1.703,0.963,0.005,0.565,1.4903493761809,0.0979631984732478
trial_log-200128-122107_task011_aud1_vis0_eps000_pp10_d2_test_SCT,10,2,200128-122107,11,2,Retention,0,0.52,0.964,-0.097,1.853,0.583922290142682,1.32919480506186
trial_log-200128-122212_task011_aud1_vis0_eps000_pp10_d2_test_SCT,10,2,200128-122212,11,2,Retention,0,0.639,0.978,-0.253,1.531,0.554862234303964,0.213655344428102
trial_log-200128-122317_task011_aud1_vis0_eps000_pp10_d2_test_SCT,10,2,200128-122317,11,2,Retention,0,0.53,0.954,0.016,1.801,-0.110867379051509,-0.560329276915576
trial_log-200128-122423_task011_aud1_vis0_eps000_pp10_d2_test_SCT,10,2,200128-122423,11,2,Retention,0,0.496,0.958,0.229,1.932,0.463953472369924,0.504742323092881
trial_log-200127-114159_task011_aud1_vis0_eps000_pp11_d1_test_SCT,11,1,200127-114159,11,-1,PreTest__,0,0.184,0.424,-0.324,2.308,-1.04701183629994,2.74733047321812
trial_log-200127-114316_task011_aud1_vis0_eps000_pp11_d1_test_SCT,11,1,200127-114316,11,-1,PreTest__,0,0.326,0.726,0.049,2.229,-1.17577224607428,1.98185794241083
trial_log-200127-114421_task011_aud1_vis0_eps000_pp11_d1_test_SCT,11,1,200127-114421,11,-1,PreTest__,0,0.276,0.586,-0.183,2.12,-0.291533559217903,1.72484044411706
trial_log-200127-114526_task011_aud1_vis0_eps000_pp11_d1_test_SCT,11,1,200127-114526,11,-1,PreTest__,0,0.266,0.604,0.171,2.274,-0.619766219032367,0.30149319309084
trial_log-200127-114630_task011_aud1_vis0_eps000_pp11_d1_test_SCT,11,1,200127-114630,11,-1,PreTest__,0,0.161,0.459,-0.036,2.845,-1.63415026122599,0.846834133592928
trial_log-200127-130728_task011_aud1_vis0_eps000_pp11_d1_test_SCT,11,1,200127-130728,11,1,PostTest_,0,0.36,0.786,-0.033,2.184,0.89187208764394,0.593790049196569
