pp,trial,condition,period,LyapsTutor,LyaplTutor,LyapsTrainee,LyaplTrainee
5.0000,21.0000,30.0000,723.5505,1.6271,0.7249,1.0675,0.1639
5.0000,22.0000,30.0000,724.7929,1.6205,0.6347,1.0215,0.2142
5.0000,23.0000,30.0000,723.2513,1.8288,0.6768,1.1056,0.2075
5.0000,24.0000,30.0000,721.8696,1.7912,0.7340,1.1684,0.1281
5.0000,25.0000,30.0000,728.7632,1.5746,0.6030,1.0124,0.2132
5.0000,26.0000,30.0000,718.4127,1.7270,0.6254,1.2302,0.1350
5.0000,27.0000,30.0000,728.6865,1.5657,0.6360,1.0524,0.1569
5.0000,28.0000,30.0000,716.9658,1.4726,0.6316,1.1020,0.1860
5.0000,29.0000,30.0000,716.8046,1.5755,0.7108,1.1432,0.1998
5.0000,30.0000,30.0000,721.7351,1.7306,0.6811,1.1060,0.1915
5.0000,31.0000,30.0000,722.9667,1.6737,0.7462,1.5153,0.2143
5.0000,32.0000,30.0000,723.7542,1.6323,0.6535,1.4254,0.1939
5.0000,33.0000,30.0000,726.8116,1.8801,0.6640,1.2167,0.2304
5.0000,34.0000,30.0000,719.6380,1.8380,0.6303,1.2103,0.2357
5.0000,35.0000,30.0000,723.2947,1.5378,0.7636,0.9914,0.1939
5.0000,36.0000,30.0000,724.4348,1.7400,0.6842,0.9832,0.2181
5.0000,37.0000,30.0000,712.5486,1.8060,0.7708,0.9642,0.1694
5.0000,38.0000,30.0000,716.8029,1.7694,0.6412,1.1829,0.1671
5.0000,39.0000,30.0000,715.6388,1.6605,0.6205,1.1674,0.2272
5.0000,40.0000,30.0000,711.8562,1.6355,0.5944,1.1284,0.2277
6.0000,1.0000,25.0000,974.8422,1.9567,0.3118,0.8844,0.0609
6.0000,2.0000,25.0000,968.2213,1.7204,0.3178,0.8964,0.0885
6.0000,3.0000,25.0000,1027.2881,1.7423,0.2104,0.9416,0.0987
6.0000,4.0000,25.0000,971.7000,2.0358,0.2872,0.9355,0.0886
6.0000,5.0000,25.0000,1000.9807,1.9515,0.2272,0.8929,0.0500
6.0000,6.0000,25.0000,924.6104,2.2161,0.1740,1.1041,0.0809
6.0000,7.0000,25.0000,973.8885,2.2411,0.2046,0.8798,0.1087
6.0000,8.0000,25.0000,949.8262,2.0934,0.2881,1.0352,0.0895
6.0000,9.0000,25.0000,998.5268,2.0862,0.1090,0.9005,0.0885
6.0000,10.0000,25.0000,1051.6452,1.8460,0.2509,0.7119,0.0946
6.0000,11.0000,25.0000,1002.7166,1.9791,0.2157,0.8927,0.1300
6.0000,12.0000,25.0000,1006.7263,1.8855,0.2697,0.9121,0.1600
6.0000,13.0000,25.0000,1031.0583,1.9777,0.1255,0.7930,0.1057
6.0000,14.0000,25.0000,939.4684,2.1583,0.2636,1.0895,0.1327
6.0000,15.0000,25.0000,1033.5177,1.8398,0.2662,0.9586,0.1079
6.0000,16.0000,25.0000,1037.7251,2.1019,0.1888,0.9356,0.1234
6.0000,17.0000,25.0000,986.7391,2.1338,0.2582,1.0425,0.1669
6.0000,18.0000,25.0000,1034.2759,1.8540,0.2651,0.8053,0.1443
6.0000,19.0000,25.0000,1014.6893,1.8493,0.2697,0.8319,0.1106
6.0000,20.0000,25.0000,1015.5502,2.0134,0.2510,0.9014,0.1080
6.0000,21.0000,25.0000,1033.6492,1.8903,0.2581,0.7627,0.1654
6.0000,22.0000,25.0000,998.2150,1.8945,0.3076,0.9597,0.0868
6.0000,23.0000,25.0000,1060.9181,2.0374,0.2480,0.9348,0.1071
6.0000,24.0000,25.0000,1035.7199,2.0997,0.1934,0.8210,0.0919
6.0000,25.0000,25.0000,976.2622,2.1536,0.2406,0.7981,0.0990
6.0000,26.0000,25.0000,966.2006,2.0634,0.2706,0.6370,0.1117
6.0000,27.0000,25.0000,958.3181,2.1096,0.2455,0.9267,0.1292
6.0000,28.0000,25.0000,1056.5184,1.8967,0.2026,0.6295,0.0645
6.0000,29.0000,25.0000,994.6468,1.9657,0.3197,0.6826,0.0853
6.0000,30.0000,25.0000,976.1185,1.9605,0.3151,0.7683,0.1510
6.0000,31.0000,25.0000,975.6068,2.0026,0.2964,0.7831,0.1252
6.0000,32.0000,25.0000,1058.0576,2.0448,0.2353,0.7402,0.0742
6.0000,33.0000,25.0000,1015.8157,1.7543,0.2856,0.7626,0.0817
6.0000,34.0000,25.0000,971.3219,2.2035,0.2929,0.8985,0.1411
6.0000,35.0000,25.0000,986.2122,2.1120,0.2831,0.7080,0.1246
6.0000,36.0000,25.0000,1049.7570,1.9097,0.3173,0.7704,0.1176
6.0000,37.0000,25.0000,1020.6918,2.1076,0.2408,0.8763,0.1034
6.0000,38.0000,25.0000,950.8867,2.0895,0.3299,0.8451,0.0313
6.0000,39.0000,25.0000,1032.1799,1.7342,0.3625,0.5894,0.0314
7.0000,1.0000,30.0000,718.5200,1.7907,0.6236,1.1577,0.2520
7.0000,2.0000,30.0000,720.1929,1.7764,0.6481,0.9668,0.1827
7.0000,3.0000,30.0000,718.7560,1.8689,0.6757,0.9876,0.1655
7.0000,4.0000,30.0000,719.9768,1.5471,0.6918,1.0317,0.2354
7.0000,5.0000,30.0000,721.9506,1.8952,0.5209,0.9993,0.1980
7.0000,6.0000,30.0000,719.7717,1.6332,0.6552,1.0644,0.2135
7.0000,7.0000,30.0000,715.5386,1.8808,0.5924,1.1159,0.1490
7.0000,8.0000,30.0000,718.3371,1.5020,0.6612,1.1726,0.2060
7.0000,9.0000,30.0000,727.4044,1.3749,0.5868,1.3644,0.1312
7.0000,10.0000,30.0000,716.8511,1.5603,0.7936,1.1107,0.1891
7.0000,11.0000,30.0000,719.8909,1.7319,0.7395,1.0524,0.2773
7.0000,12.0000,30.0000,723.0296,1.6593,0.5605,1.0020,0.2404
7.0000,13.0000,30.0000,717.7441,1.6448,0.6581,1.1542,0.2749
7.0000,14.0000,30.0000,726.2169,1.5807,0.7762,1.1384,0.1879
7.0000,15.0000,30.0000,726.0941,1.6024,0.7085,1.0889,0.2406
7.0000,16.0000,30.0000,713.8829,1.6660,0.8059,1.1452,0.2364
7.0000,17.0000,30.0000,716.3357,1.5182,0.5586,1.2018,0.2048
7.0000,18.0000,30.0000,726.9138,1.4195,0.7350,1.2102,0.2216
7.0000,19.0000,30.0000,714.9642,1.5881,0.6305,1.2298,0.1696
7.0000,20.0000,30.0000,722.2957,1.7447,0.7662,1.2080,0.1795
7.0000,21.0000,30.0000,718.5565,1.6205,0.7495,1.3227,0.2608
7.0000,22.0000,30.0000,722.8433,1.5147,0.7412,1.1700,0.1819
7.0000,23.0000,30.0000,728.3292,1.5795,0.8024,1.2277,0.2129
7.0000,24.0000,30.0000,722.3601,1.7470,0.6925,1.1412,0.2118
7.0000,25.0000,30.0000,729.8707,1.6480,0.6004,1.1144,0.2349
7.0000,26.0000,30.0000,720.2924,1.7356,0.6630,1.1233,0.2280
7.0000,27.0000,30.0000,726.5691,1.5097,0.8026,1.2026,0.1902
7.0000,28.0000,30.0000,723.8466,1.6190,0.6341,0.8524,0.2323
7.0000,29.0000,30.0000,721.2994,1.2562,0.6772,1.0956,0.2309
7.0000,30.0000,30.0000,718.6701,1.2838,0.7482,0.9776,0.3101
7.0000,31.0000,30.0000,727.8665,1.7644,0.5760,0.9853,0.2409
7.0000,32.0000,30.0000,723.0630,1.4130,0.7163,0.9938,0.1894
7.0000,33.0000,30.0000,722.7540,1.6699,0.7706,1.0305,0.2401
7.0000,34.0000,30.0000,722.6646,1.5935,0.7331,0.9638,0.2307
7.0000,35.0000,30.0000,710.3877,1.3033,0.8254,1.0623,0.2847
7.0000,36.0000,30.0000,726.8231,1.7880,0.7046,1.0040,0.2748
7.0000,37.0000,30.0000,720.0926,1.5881,0.6586,1.1462,0.2590
7.0000,38.0000,30.0000,733.5284,1.3661,0.6823,1.0115,0.2736
7.0000,39.0000,30.0000,721.9729,1.4522,0.7670,0.7681,0.2051
7.0000,40.0000,30.0000,729.5144,1.4311,0.6262,0.9315,0.2378
8.0000,1.0000,30.0000,707.5676,2.1633,0.7346,1.3575,0.1842
8.0000,2.0000,30.0000,727.8039,1.7682,0.5678,1.0219,0.2103
8.0000,3.0000,30.0000,714.7569,2.1711,0.5965,1.1849,0.1060
