"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention","MLS Stimulus Delta% PostTest","MLS Stimulus Delta% Retention","MLL Stimulus Delta% PostTest","MLL Stimulus Delta% Retention","MLS User Delta% PostTest","MLS User Delta% Retention","MLL User Delta% PostTest","MLL User Delta% Retention","MLS Stimulus Training","MLL Stimulus Training","MLS User Training","MLL User Training"
"8","Chaotic","Chaotic Non-interactive",-5.63063063063063,-6.72297297297296,-1.72246145297958,6.07028753993611,-0.112775898179476,-12.0831319478009,0.198733348725714,-1.19240009235427,0.531116655393208,-3.18669993235927,15.6546852164837,1.11825204443237,31.0108711995447,-17.0661676400967,1.50873986349819,0.736050862829523,0.818074625301488,0.128198237052482
"8","Chaotic Visual","Chaotic Non-interactive",5.1731078904992,-2.92874396135265,1.52953586497891,-2.42616033755274,3.90156291795636,-0.183423134242799,-0.92402703592439,-0.693020276943282,-1.11556694677951,-0.836675210084623,1.59631542904113,3.20219579685534,-24.1416262452073,11.4185704029681,1.50873986349819,0.736050862829523,0.818074625301488,0.128198237052482
"8","Periodic Fadeout (SCT)","Chaotic Non-interactive",1.9203467085108,6.11970410221923,-0.0306654400490613,-31.0696663042569,-0.574112734864295,55.0104384133612,-15.7643584701348,-3.14219518526962,-47.5748893849628,-19.3040231105905,33.705088326092,-16.914905680457,-2.47184439468912,8.33320442872473,1.50873986349819,0.736050862829523,0.818074625301488,0.128198237052482
"8","Periodic Fixed","Chaotic Non-interactive",-0.89070048309179,0.928442028985506,-12.7570163589975,20.8734804142278,13.401228580666,-18.2347235693501,-17.6624237669087,17.3980189487179,-10.5742177281184,-2.41679188084889,4.81128102011347,-15.5161750880275,-11.5799466456764,-5.21953821521512,1.50873986349819,0.736050862829523,0.818074625301488,0.128198237052482
"9","Chaotic","Chaotic Non-interactive",22.1700128150363,48.7398547629218,-10.761362438047,-3.29009807023093,35.6609808102345,52.1855010660981,0.40226328523609,0,1.09719770945136,0,-21.5243678572301,-10.7532528231912,-60.1475864723177,29.4794785059331,1.50753731328903,0.735034957822207,0.778083527329522,0.104052801121671
"9","Chaotic Visual","Chaotic Non-interactive",3.30988455988456,6.52056277056276,-0.777552400270452,7.40365111561865,3.83182543906332,-0.979244278871739,2.35911502627652,2.09736156463412,2.86072222808407,2.93012280670016,-4.34982857855879,-1.91172125279661,-3.72623377795304,-31.3273009764647,1.50753731328903,0.735034957822207,0.778083527329522,0.104052801121671
"9","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.0295181167441608,-0.796989152092095,-13.9911250326285,-2.91307752545027,16.1587659894658,2.82167042889391,-9.42128415690789,20.7409787516543,13.870666758125,35.2301615605778,-11.8804674899864,-22.3629805038942,-27.1392308372958,-31.2473212458266,1.50753731328903,0.735034957822207,0.778083527329522,0.104052801121671
"9","Periodic Fixed","Chaotic Non-interactive",-6.95621468926554,18.3262711864407,0.665011273796275,5.42854696463739,-12.6443308726103,16.3543441226576,27.633411242594,22.9987384958087,-54.5015541631039,50.3892339107572,-13.5105338432225,-15.8213268340183,0.427060283558507,-15.8356518683366,1.50753731328903,0.735034957822207,0.778083527329522,0.104052801121671
"10","Chaotic","Chaotic Interactive",12.3174101855507,6.6719305171733,-10.6207334497539,1.71455786632799,28.6115238566947,5.34918276374443,-1.12149604259622,0.607057884337353,-3.49176351466232,1.67333627509976,17.0740067743798,20.7373140277978,90.3004769501229,36.2167605698407,1.72684865835525,0.272828370786561,0.492597351390403,0.0984491011926305
"10","Chaotic Visual","Chaotic Interactive",7.60089422284975,7.62442640310625,-8.90151515151515,-7.89772727272727,17.7484911934967,16.0610912673975,1.63977526300554,1.40552165400474,1.98546595984555,1.70182796558188,25.7856888324602,-0.283074243887848,-36.7519390212412,-5.34739230576468,1.72684865835525,0.272828370786561,0.492597351390403,0.0984491011926305
"10","Periodic Fadeout (SCT)","Chaotic Interactive",2.08025862674818,1.72886358844613,-39.6052312068547,-38.7293162660006,58.450259132853,56.9017823284035,-12.474460304574,-3.76940733019909,28.4675387632801,40.6452004506287,9.73690273464139,-11.4494284398487,11.9613538879494,0.708744869745582,1.72684865835525,0.272828370786561,0.492597351390403,0.0984491011926305
"10","Periodic Fixed","Chaotic Interactive",-8.06892204244589,1.21874343349443,14.7908695078506,1.35901834015041,-21.6471554734032,19.7781885397412,-12.311633633474,11.1823334140238,-62.4660842808828,17.1585846535224,16.5085362674356,11.7031241872295,10.4268478576297,-9.88288393649226,1.72684865835525,0.272828370786561,0.492597351390403,0.0984491011926305
