"file_name","pp","day","date","task_code","training_phase","training_phase_label","visual","score","c","tau","pitch_error","max_lyap_stim_short","max_lyap_stim_long","max_lyap_user_short","max_lyap_user_long","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","pre_max_lyap_stim_short","pre_max_lyap_stim_long","pre_max_lyap_user_short","pre_max_lyap_user_long","score_delta","c_delta","tau_delta","pitch_error_delta","max_lyap_stim_short_delta","max_lyap_stim_long_delta","max_lyap_user_short_delta","max_lyap_user_long_delta"
"trial_log-200129-133315_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133315","11",-1,"PreTest",0,0.267,0.526,-0.205,1.974,0.172590391067277,0.0325988630651056,0.371872616092179,0.144598814547268,"30","Chaotic Non-interactive","Periodic Fixed",3,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,-0.282258064516129,-34.1347357876283,305.138339920949,-8.13477289650038,-9.43270244192119,-5.89800281131224,-0.508136950709852,19.6601079045646
"trial_log-200129-133419_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133419","11",-1,"PreTest",0,0.352,0.9,-0.015,2.554,0.190226344585386,0.0280669584103533,0.272170809903449,0.0866643425203099,"30","Chaotic Non-interactive","Periodic Fixed",4,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,-0.0537634408602151,12.6972201352367,-70.3557312252964,18.8570364854803,-0.178185778983627,-18.9800933808264,-27.1826432677794,-28.2825062575566
"trial_log-200129-133523_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-133523","11",-1,"PreTest",0,0.451,0.883,-0.135,1.96,0.205234889568902,0.028172531980679,0.420751519638352,0.150058594822002,"30","Chaotic Non-interactive","Periodic Fixed",5,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,0.212365591397849,10.5684948660155,166.798418972332,-8.78629932985853,7.69759079832331,-18.6753378499925,12.5690646693467,24.1782493489145
"trial_log-200129-145621_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-145621","11",1,"PostTest",0,0.634,0.899,0.202,1.419,0.157498176926545,0.0401233426981836,0.395995994250603,0.138197550325475,"30","Chaotic Non-interactive","Periodic Fixed",1,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,0.704301075268817,12.5720010017531,-499.209486166008,-33.9631422189129,-17.3523846469468,15.8226492207574,5.94590062066441,14.3628586158784
"trial_log-200129-145725_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-145725","11",1,"PostTest",0,0.523,0.784,0.475,1.5,0.180487842010942,0.0384273754111785,0.371285195344357,0.125780691416289,"30","Chaotic Non-interactive","Periodic Fixed",2,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,0.405913978494624,-1.8281993488605,-1038.73517786561,-30.1935964259121,-5.28849264471163,10.9269598049908,-0.665297177264767,4.08751381750695
"trial_log-200129-145829_task011_aud1_vis0_eps000_pp5_d1_test_SCT","5",1,"200129-145829","11",1,"PostTest",0,0.396,0.91,-0.038,2.298,0.202746379279271,0.0481768667985753,0.246173040047241,0.0985255400619082,"30","Chaotic Non-interactive","Periodic Fixed",3,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,0.0645161290322581,13.9494114700726,-24.901185770751,6.94341027550261,6.39173796095707,39.0704754023185,-34.1381609536518,-18.4669888748671
"trial_log-200130-132045_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132045","11",2,"Retention",0,0.542,0.778,-0.14,1.434,0.165090157161571,0.0454215525866083,0.571969467739451,0.194340827355524,"30","Chaotic Non-interactive","Periodic Fixed",1,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,0.456989247311828,-2.57951414976208,176.679841897233,-33.265078183172,-13.3684714710816,31.1168062908945,53.0263468999369,60.8232020741952
"trial_log-200130-132148_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132148","11",2,"Retention",0,0.355,0.597,0.232,1.681,0.160253516018827,0.0305682246177809,0.475282540396161,0.157419263787263,"30","Chaotic Non-interactive","Periodic Fixed",2,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,-0.0456989247311828,-25.244177310293,-558.498023715415,-21.7702903946389,-15.9065126380767,-11.7597757535083,27.1584498899812,30.2694365096847
"trial_log-200130-132252_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132252","11",2,"Retention",0,0.326,0.619,-0.263,1.899,0.206400252961111,0.0379022540356533,0.443835476716303,0.140929561735643,"30","Chaotic Non-interactive","Periodic Fixed",3,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,-0.123655913978495,-22.4893563736539,419.762845849802,-11.6250930752048,8.30911854591583,9.41111030727361,18.7450125527098,16.6236847586151
"trial_log-200130-132357_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132357","11",2,"Retention",0,0.488,0.904,0.183,1.851,0.204289152101964,0.0244200616164375,0.489144962449726,0.107403829735402,"30","Chaotic Non-interactive","Periodic Fixed",4,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,0.311827956989247,13.1980966691711,-461.660079051383,-13.8588979895756,7.20131237835837,-29.5074627299693,30.8672419246786,-11.1199224160963
"trial_log-200130-132502_task011_aud1_vis0_eps000_pp5_d2_test_SCT","5",2,"200130-132502","11",2,"Retention",0,0.434,0.784,0.109,1.807,0.19741580694859,0.0104721281088851,0.510613149716515,0.180342616644305,"30","Chaotic Non-interactive","Periodic Fixed",5,0.372,0.7986,-0.0506,2.1488,0.190565905929343,0.0346420522826315,0.37377188917243,0.120841287108477,0.166666666666667,-1.8281993488605,-315.415019762846,-15.9065524944155,3.59450500121798,-69.7704742679592,36.6109021325989,49.239238475187
"trial_log-200122-095020_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095020","11",-1,"PreTest",0,0.399,0.87,0.072,2.181,0.227644914245951,0.054957662101916,0.378065413841779,0.140997377071713,"25","Chaotic Interactive","Periodic Fixed",1,0.4058,0.8674,0.0608,2.19,0.227596990752696,0.0470027401041932,0.438507114305486,0.1486171101348,-0.0167570231641202,0.299746368457452,18.421052631579,-0.410958904109584,0.0210562947673953,16.9243792597808,-13.7835165022203,-5.12709004782562
"trial_log-200122-095124_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095124","11",-1,"PreTest",0,0.446,0.885,0.172,1.984,0.206264883455226,0.0314228356868175,0.453099424632408,0.164405037643302,"25","Chaotic Interactive","Periodic Fixed",2,0.4058,0.8674,0.0608,2.19,0.227596990752696,0.0470027401041932,0.438507114305486,0.1486171101348,0.0990635781172992,2.02905234032741,182.894736842105,-9.40639269406392,-9.37275454606057,-33.1468003415099,3.32772487626198,10.623223324812
"trial_log-200122-095229_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095229","11",-1,"PreTest",0,0.332,0.774,0.076,2.331,0.225858093288185,0.0687652720877577,0.511108203664604,0.135968433775009,"25","Chaotic Interactive","Periodic Fixed",3,0.4058,0.8674,0.0608,2.19,0.227596990752696,0.0470027401041932,0.438507114305486,0.1486171101348,-0.181862986692952,-10.7678118515103,25,6.43835616438356,-0.764024804880154,46.3005602127076,16.5564222313941,-8.51091529657564
"trial_log-200122-095333_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095333","11",-1,"PreTest",0,0.334,0.906,-0.024,2.712,0.245300308727159,0.0445184625921777,0.463712399537702,0.177679111826621,"25","Chaotic Interactive","Periodic Fixed",4,0.4058,0.8674,0.0608,2.19,0.227596990752696,0.0470027401041932,0.438507114305486,0.1486171101348,-0.176934450468211,4.45008070094535,-139.473684210526,23.8356164383562,7.77836205826586,-5.28538869544312,5.74797635202264,19.5549500763812
"trial_log-200122-095437_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-095437","11",-1,"PreTest",0,0.518,0.902,0.008,1.742,0.232916754046961,0.0353494680522973,0.386550129850936,0.124035590357357,"25","Chaotic Interactive","Periodic Fixed",5,0.4058,0.8674,0.0608,2.19,0.227596990752696,0.0470027401041932,0.438507114305486,0.1486171101348,0.276490882207984,3.98893244178003,-86.8421052631579,-20.4566210045662,2.33736099790747,-24.7927504355354,-11.8486069574584,-16.5401680567918
"trial_log-200122-111815_task011_aud1_vis0_eps000_pp6_d1_test_SCT","6",1,"200122-111815","11",1,"PostTest",0,0.48,0.814,0.076,1.694,0.259349821829805,0.0589165915156758,0.515339996852171,0.074109670037376,"25","Chaotic Interactive","Periodic Fixed",1,0.4058,0.8674,0.0608,2.19,0.227596990752696,0.0470027401041932,0.438507114305486,0.1486171101348,0.1828486939379,-6.15632925985706,25,-22.648401826484,13.9513404690006,25.3471422837744,17.5214677345371,-50.1338237769822
