FileName,PP,Day,Date,TaskCode,TrainingPhase,TrainingPhaseLabel,Visual,Score,C,tau,PitchError,MaxLyapStimShort,MaxLyapStimLong,MaxLyapUserShort,MaxLyapUserLong
trial_log-200212-104750_task012_aud1_vis0_eps000_pp27_d1_test_periodic,27,1,200212-104750,12,1,PostTest_,0,0.108,0.821,-0.105,7.595,0.382554425618603,0.0634513082935713,0.624347615145667,0.263455594448409
trial_log-200212-104854_task012_aud1_vis0_eps000_pp27_d1_test_periodic,27,1,200212-104854,12,1,PostTest_,0,0.194,0.945,0.129,4.88,0.386446636634665,0.0967967719080035,0.454472248577448,0.160135410914758
trial_log-200213-151029_task012_aud1_vis0_eps000_pp27_d2_test_periodic,27,2,200213-151029,12,2,Retention,0,0.175,0.835,0.115,4.763,0.409258458705595,0.0347889185913425,0.574974361903274,0.180597401695534
trial_log-200213-151132_task012_aud1_vis0_eps000_pp27_d2_test_periodic,27,2,200213-151132,12,2,Retention,0,0.211,0.899,-0.068,4.268,0.327948780502298,0.0448091876227616,0.502109095954401,0.187907312312875
trial_log-200213-151239_task012_aud1_vis0_eps000_pp27_d2_test_periodic,27,2,200213-151239,12,2,Retention,0,0.197,0.909,-0.549,4.621,0.320180306921002,0.0852898738561824,0.618135641192688,0.206430559942998
trial_log-200213-151342_task012_aud1_vis0_eps000_pp27_d2_test_periodic,27,2,200213-151342,12,2,Retention,0,0.225,0.916,0.156,4.077,0.415726149627779,0.0807010196271214,0.487645184125083,0.0998374747946015
trial_log-200213-151446_task012_aud1_vis0_eps000_pp27_d2_test_periodic,27,2,200213-151446,12,2,Retention,0,0.184,0.903,-0.133,4.918,0.383061092439986,0.0418923608458112,0.567266184096154,0.115572340641573
trial_log-200220-151752_task012_aud1_vis0_eps000_pp28_d1_test_periodic,28,1,200220-151752,12,-1,PreTest__,0,0.421,0.924,-0.069,2.194,0.261171207628175,0.052784474784169,0.555346301343488,0.0781884190397011
trial_log-200220-151900_task012_aud1_vis0_eps000_pp28_d1_test_periodic,28,1,200220-151900,12,-1,PreTest__,0,0.572,0.937,0.481,1.637,0.275473690051764,0.076054820749739,0.555747729954452,0.150139399834428
trial_log-200220-152003_task012_aud1_vis0_eps000_pp28_d1_test_periodic,28,1,200220-152003,12,-1,PreTest__,0,0.439,0.905,-0.271,2.062,0.297461365681783,0.0547689398050709,0.798275539804655,0.116022910943211
trial_log-200220-152108_task012_aud1_vis0_eps000_pp28_d1_test_periodic,28,1,200220-152108,12,-1,PreTest__,0,0.528,0.927,-0.301,1.757,0.274826736644619,0.0344648630497135,0.696978003447954,0.079196544915018
trial_log-200220-152219_task012_aud1_vis0_eps000_pp28_d1_test_periodic,28,1,200220-152219,12,-1,PreTest__,0,0.463,0.911,-0.056,1.965,0.297732042617777,0.0411821783703721,0.740381184822453,0.158891786254508
trial_log-200220-164319_task012_aud1_vis0_eps000_pp28_d1_test_periodic,28,1,200220-164319,12,1,PostTest_,0,0.487,0.933,0.1,1.915,0.293094446062659,0.0372459893609085,0.622223557700733,0.159553409667057
trial_log-200220-164423_task012_aud1_vis0_eps000_pp28_d1_test_periodic,28,1,200220-164423,12,1,PostTest_,0,0.472,0.934,-0.101,1.981,0.238713226988072,0.0425539978038216,0.690780944738505,0.0932220112271566
trial_log-200220-164527_task012_aud1_vis0_eps000_pp28_d1_test_periodic,28,1,200220-164527,12,1,PostTest_,0,0.442,0.939,-0.537,2.124,0.234430130834126,0.0405129687810958,0.689494678772957,0.106668850752397
trial_log-200221-150928_task012_aud1_vis0_eps000_pp28_d2_test_periodic,28,2,200221-150928,12,2,Retention,0,0.424,0.886,-0.27,2.09,0.289378841516756,0.0301458303378758,0.516215409627085,0.114999918290965
trial_log-200221-151033_task012_aud1_vis0_eps000_pp28_d2_test_periodic,28,2,200221-151033,12,2,Retention,0,0.4,0.927,0.18,2.316,0.266872322116063,0.0432710913408807,0.466742064633108,0.0955172395614814
trial_log-200221-151138_task012_aud1_vis0_eps000_pp28_d2_test_periodic,28,2,200221-151138,12,2,Retention,0,0.362,0.911,0.117,2.514,0.243042543906331,0.0465807530861009,0.484238415301412,0.138575513684359
trial_log-200221-151243_task012_aud1_vis0_eps000_pp28_d2_test_periodic,28,2,200221-151243,12,2,Retention,0,0.354,0.908,0.49,2.564,0.29034383824042,0.053200125921959,0.458728263850571,0.0742582356816017
trial_log-200221-151348_task012_aud1_vis0_eps000_pp28_d2_test_periodic,28,2,200221-151348,12,2,Retention,0,0.361,0.92,-0.034,2.546,0.298415274716132,0.0518602156191421,0.510525123279904,0.063152123203673
trial_log-200213-092229_task012_aud1_vis0_eps000_pp30_d1_test_periodic,30,1,200213-092229,12,-1,PreTest__,0,0.074,0.304,-0.226,4.119,0.365013014828465,0.0437334717108186,0.567166655989414,0.101666243040264
trial_log-200213-092334_task012_aud1_vis0_eps000_pp30_d1_test_periodic,30,1,200213-092334,12,-1,PreTest__,0,0.128,0.549,0.011,4.291,0.373161854180653,0.0515321154947627,0.628484011502265,0.186954341406227
trial_log-200213-092439_task012_aud1_vis0_eps000_pp30_d1_test_periodic,30,1,200213-092439,12,-1,PreTest__,0,0.098,0.359,0.008,3.658,0.311891810327356,0.070161318776187,0.656936154408677,0.0507166739529096
trial_log-200213-092546_task012_aud1_vis0_eps000_pp30_d1_test_periodic,30,1,200213-092546,12,-1,PreTest__,0,0.098,0.376,0.291,3.82,0.34224944004171,0.0328144248123583,0.58489740874217,0.141186336055984
trial_log-200213-092654_task012_aud1_vis0_eps000_pp30_d1_test_periodic,30,1,200213-092654,12,-1,PreTest__,0,0.105,0.337,0.378,3.202,0.289604237495592,0.022854628101323,0.542633937728388,0.060764209744641
trial_log-200213-105009_task012_aud1_vis0_eps000_pp30_d1_test_periodic,30,1,200213-105009,12,1,PostTest_,0,0.177,0.683,-0.39,3.851,0.345426226510956,0.0734827389197439,0.598531847107655,0.162730841518316
trial_log-200213-105113_task012_aud1_vis0_eps000_pp30_d1_test_periodic,30,1,200213-105113,12,1,PostTest_,0,0.357,0.904,-0.026,2.528,0.388827243250689,0.0742585781348972,0.724298956266305,0.133778204053937
trial_log-200213-105219_task012_aud1_vis0_eps000_pp30_d1_test_periodic,30,1,200213-105219,12,1,PostTest_,0,0.205,0.633,0.238,3.094,0.340132719129935,0.0557262698591664,0.576270468141487,0.178296379592307
trial_log-200214-091427_task012_aud1_vis0_eps000_pp30_d2_test_periodic,30,2,200214-091427,12,2,Retention,0,0.169,0.634,0.18,3.739,0.37468993874916,0.082230858255259,0.576046950000058,0.0582016505866432
trial_log-200214-091534_task012_aud1_vis0_eps000_pp30_d2_test_periodic,30,2,200214-091534,12,2,Retention,0,0.246,0.736,0.152,2.986,0.353456115171697,0.0582412253474232,0.569530654359145,0.0992181038639752
trial_log-200214-091639_task012_aud1_vis0_eps000_pp30_d2_test_periodic,30,2,200214-091639,12,2,Retention,0,0.173,0.537,0.023,3.096,0.35149336359661,0.0677892425469663,0.568828429926091,0.128969101675942
trial_log-200214-091744_task012_aud1_vis0_eps000_pp30_d2_test_periodic,30,2,200214-091744,12,2,Retention,0,0.095,0.334,0.035,3.501,0.377559787868831,0.0745087336206924,0.539038934675135,0.0839714239652915
trial_log-200214-091850_task012_aud1_vis0_eps000_pp30_d2_test_periodic,30,2,200214-091850,12,2,Retention,0,0.082,0.247,-0.229,2.998,0.337808700356316,0.0651017712644142,0.614891525414643,0.152131959235026
trial_log-200123-125430_task020_aud1_vis0_eps000_pp1_d1_test_chaotic,1,1,200123-125430,20,-1,PreTest__,0,0.483,0.553,0.11,1.146,1.85038544038966,0.414533954546875,0.411029116452949,0.0164003852046369
trial_log-200123-125548_task020_aud1_vis0_eps000_pp1_d1_test_chaotic,1,1,200123-125548,20,-1,PreTest__,0,0.459,0.506,0.137,1.102,1.90654999392224,0.449216689717067,0.406002528620869,-0.00398014579780223
trial_log-200123-125700_task020_aud1_vis0_eps000_pp1_d1_test_chaotic,1,1,200123-125700,20,-1,PreTest__,0,0.482,0.547,0.325,1.135,1.85038544038966,0.414533954546875,0.369565138265043,0.0293448489988603
trial_log-200123-125809_task020_aud1_vis0_eps000_pp1_d1_test_chaotic,1,1,200123-125809,20,-1,PreTest__,0,0.371,0.496,0.035,1.336,1.85038544038966,0.414533954546875,0.344846455680093,0.0320269616743229
trial_log-200123-125920_task020_aud1_vis0_eps000_pp1_d1_test_chaotic,1,1,200123-125920,20,-1,PreTest__,0,0.381,0.47,0.289,1.235,1.90654999392224,0.449216689717067,0.333729924288202,0.0177653111932896
trial_log-200123-142013_task020_aud1_vis0_eps000_pp1_d1_test_chaotic,1,1,200123-142013,20,1,PostTest_,0,0.652,0.598,-0.154,0.916,1.85038544038966,0.414533954546875,0.443724365343244,0.0878885282600928
trial_log-200123-142119_task020_aud1_vis0_eps000_pp1_d1_test_chaotic,1,1,200123-142119,20,1,PostTest_,0,0.71,0.646,0.236,0.91,1.90654999392224,0.449216689717067,0.476033539605403,0.0871111401154187
trial_log-200123-142225_task020_aud1_vis0_eps000_pp1_d1_test_chaotic,1,1,200123-142225,20,1,PostTest_,0,0.632,0.667,0.429,1.056,1.90654999392224,0.449216689717067,0.625451712049021,0.09553067997998
trial_log-200124-114627_task020_aud1_vis0_eps000_pp1_d2_test_chaotic,1,2,200124-114627,20,2,Retention,0,0.541,0.599,0.423,1.107,1.90654999392224,0.449216689717067,0.612326265123371,0.0752192714805708
trial_log-200124-114732_task020_aud1_vis0_eps000_pp1_d2_test_chaotic,1,2,200124-114732,20,2,Retention,0,0.486,0.559,0.405,1.149,1.85038544038966,0.414533954546875,0.549980722530798,0.0774692079463944
trial_log-200124-114840_task020_aud1_vis0_eps000_pp1_d2_test_chaotic,1,2,200124-114840,20,2,Retention,0,0.446,0.548,0.548,1.227,1.85038544038966,0.414533954546875,0.434006808170765,0.0710576658976445
trial_log-200124-114946_task020_aud1_vis0_eps000_pp1_d2_test_chaotic,1,2,200124-114946,20,2,Retention,0,0.407,0.499,0.539,1.225,1.85038544038966,0.414533954546875,0.621550871307567,0.0588486595049891
trial_log-200124-115058_task020_aud1_vis0_eps000_pp1_d2_test_chaotic,1,2,200124-115058,20,2,Retention,0,0.476,0.611,0.152,1.285,1.85038544038966,0.414533954546875,0.564606072661709,0.0760034440514065
trial_log-200203-152525_task020_aud1_vis0_eps000_pp4_d1_test_chaotic,4,1,200203-152525,20,-1,PreTest__,0,0.303,0.484,-0.055,1.596,1.85038544038966,0.414533954546875,0.399202461027586,0.0186114220769849
trial_log-200203-152633_task020_aud1_vis0_eps000_pp4_d1_test_chaotic,4,1,200203-152633,20,-1,PreTest__,0,0.333,0.555,0.085,1.663,1.85038544038966,0.414533954546875,0.445621026654378,0.0417187750108986
trial_log-200203-152738_task020_aud1_vis0_eps000_pp4_d1_test_chaotic,4,1,200203-152738,20,-1,PreTest__,0,0.234,0.408,0.087,1.746,1.85038544038966,0.414533954546875,0.538595653846338,0.031300382138782
trial_log-200203-152843_task020_aud1_vis0_eps000_pp4_d1_test_chaotic,4,1,200203-152843,20,-1,PreTest__,0,0.346,0.518,0.32,1.494,1.85038544038966,0.414533954546875,0.59762341959754,0.0597488699638852
trial_log-200203-152948_task020_aud1_vis0_eps000_pp4_d1_test_chaotic,4,1,200203-152948,20,-1,PreTest__,0,0.351,0.59,0.377,1.682,1.90654999392224,0.449216689717067,0.574934244122233,0.0665741912484172
trial_log-200203-164013_task020_aud1_vis0_eps000_pp4_d1_test_chaotic,4,1,200203-164013,20,1,PostTest_,0,0.46,0.569,0.206,1.238,1.85038544038966,0.414533954546875,0.464904512466969,0.0617240357627945
trial_log-200203-164118_task020_aud1_vis0_eps000_pp4_d1_test_chaotic,4,1,200203-164118,20,1,PostTest_,0,0.432,0.575,0.008,1.332,1.85038544038966,0.414533954546875,0.537589636933125,0.0581872953055554
trial_log-200203-164224_task020_aud1_vis0_eps000_pp4_d1_test_chaotic,4,1,200203-164224,20,1,PostTest_,0,0.401,0.548,0.028,1.368,1.85038544038966,0.414533954546875,0.512047405159261,0.0594871345408884
trial_log-200205-094323_task020_aud1_vis0_eps000_pp4_d2_test_chaotic,4,2,200205-094323,20,2,Retention,0,0.32,0.544,0.075,1.698,1.85038544038966,0.414533954546875,0.484059237490959,0.0289068259735971
trial_log-200205-094427_task020_aud1_vis0_eps000_pp4_d2_test_chaotic,4,2,200205-094427,20,2,Retention,0,0.279,0.535,0.078,1.916,1.85038544038966,0.414533954546875,0.504895207474995,0.0279359298667979
trial_log-200205-094533_task020_aud1_vis0_eps000_pp4_d2_test_chaotic,4,2,200205-094533,20,2,Retention,0,0.295,0.528,0.321,1.789,1.85038544038966,0.414533954546875,0.512268325344036,0.0166258073881813
trial_log-200205-094638_task020_aud1_vis0_eps000_pp4_d2_test_chaotic,4,2,200205-094638,20,2,Retention,0,0.301,0.474,-0.057,1.575,1.85038544038966,0.414533954546875,0.525843772905583,0.0452688194222556
trial_log-200205-094744_task020_aud1_vis0_eps000_pp4_d2_test_chaotic,4,2,200205-094744,20,2,Retention,0,0.262,0.483,0.027,1.848,1.78812944192942,0.371110318404611,0.396107852651591,0.0383317820414048
trial_log-200129-131908_task020_aud1_vis0_eps000_pp5_d1_test_chaotic,5,1,200129-131908,20,-1,PreTest__,0,0.214,0.387,-0.009,1.807,1.85038544038966,0.414533954546875,0.336825778791967,0.0031730329030866
trial_log-200129-132011_task020_aud1_vis0_eps000_pp5_d1_test_chaotic,5,1,200129-132011,20,-1,PreTest__,0,0.272,0.447,0.294,1.646,1.90654999392224,0.449216689717067,0.31750681210049,0.0143343425930947
trial_log-200129-132146_task020_aud1_vis0_eps000_pp5_d1_test_chaotic,5,1,200129-132146,20,-1,PreTest__,0,0.295,0.497,0.143,1.683,1.90654999392224,0.449216689717067,0.332850871709882,0.0337554726005434
trial_log-200129-132249_task020_aud1_vis0_eps000_pp5_d1_test_chaotic,5,1,200129-132249,20,-1,PreTest__,0,0.258,0.448,-0.009,1.738,1.85038544038966,0.414533954546875,0.29531882144332,0.0183901186049943
trial_log-200129-132353_task020_aud1_vis0_eps000_pp5_d1_test_chaotic,5,1,200129-132353,20,-1,PreTest__,0,0.258,0.419,0.035,1.626,1.90654999392224,0.449216689717067,0.327764757347205,0.0190535273523889
trial_log-200129-144932_task020_aud1_vis0_eps000_pp5_d1_test_chaotic,5,1,200129-144932,20,1,PostTest_,0,0.231,0.472,0.553,2.046,1.90654999392224,0.449216689717067,0.464182414161559,0.0652211232691981
trial_log-200129-145035_task020_aud1_vis0_eps000_pp5_d1_test_chaotic,5,1,200129-145035,20,1,PostTest_,0,0.283,0.494,0.282,1.745,1.85038544038966,0.414533954546875,0.427241259389538,0.026674967392757
trial_log-200129-145138_task020_aud1_vis0_eps000_pp5_d1_test_chaotic,5,1,200129-145138,20,1,PostTest_,0,0.295,0.405,-0.151,1.376,1.85038544038966,0.414533954546875,0.417011187738634,0.01175936865593
trial_log-200130-130926_task020_aud1_vis0_eps000_pp5_d2_test_chaotic,5,2,200130-130926,20,2,Retention,0,0.286,0.434,-0.041,1.517,1.85038544038966,0.414533954546875,0.345599609031339,0.0210452042416338
