"pp","task_label","Training","score_PreTest","score_PostTest","score_Retention","c_PreTest","c_PostTest","c_Retention","pitch_error_PreTest","pitch_error_PostTest","pitch_error_Retention","max_lyap_stim_short_PreTest","max_lyap_stim_short_PostTest","max_lyap_stim_short_Retention","max_lyap_stim_long_PreTest","max_lyap_stim_long_PostTest","max_lyap_stim_long_Retention","max_lyap_user_short_PreTest","max_lyap_user_short_PostTest","max_lyap_user_short_Retention","max_lyap_user_long_PreTest","max_lyap_user_long_PostTest","max_lyap_user_long_Retention"
"10","Periodic Fadeout (SCT)","Chaotic Interactive",0.5274,0.835666666666667,0.8275,0.9486,0.968333333333333,0.965,1.9218,1.16066666666667,1.1775,0.387244902927074,0.33893819122995,0.372648065170319,0.0505787532136251,0.0649772793906976,0.0711365888427319,0.494729593831693,0.542900933182571,0.438085883015179,0.116188000071527,0.130085657935413,0.117011476561294
"10","Periodic Fixed","Chaotic Interactive",0.6492,0.508666666666667,0.7776,0.9518,0.875,0.9634,1.5158,1.74,1.5364,0.18105138562913,0.158761002342143,0.201297155220889,0.0401843277318001,0.0150827517031477,0.0470793896231099,0.328268339128799,0.382460636948385,0.366685990524398,0.102068304662386,0.112710811500395,0.0919810125766574
"11","Chaotic","Periodic Fixed",0.1676,0.120666666666667,0.177,0.2926,0.247,0.2594,1.7952,2.07033333333333,1.4648,1.88408417250921,1.88782847607805,1.86161835109618,0.43534359564899,0.43765577799367,0.421470501580913,0.475661427570248,0.451388392314542,0.499316585434521,0.0171839068508299,0.0251476090506442,0.0170489035416639
"11","Chaotic Visual","Periodic Fixed",1.0432,1.24566666666667,1.3334,0.4626,0.592333333333333,0.6328,0.444,0.475,0.4774,1.67191605916758,1.64858090722596,1.66024848319677,0.346707767893658,0.340857181597667,0.343782474745663,0.498861732971084,0.554494070164007,0.580278201114181,0.0247568430155914,0.0274853359929797,0.0228550709703207
"11","Periodic Fadeout (SCT)","Periodic Fixed",0.2072,0.336666666666667,0.4708,0.6302,0.815666666666667,0.8876,3.225,2.44533333333333,1.8928,0.383470540715104,0.369828537840881,0.378869620375898,0.0637174609219569,0.0689811388877594,0.0680428988454292,0.471200790080899,0.438311559546773,0.454947806322283,0.109931182853938,0.0999080096826322,0.103220538281732
"11","Periodic Fixed","Periodic Fixed",0.2426,0.43,0.4518,0.5598,0.791333333333333,0.8428,2.3552,1.89366666666667,1.8846,0.225318890823341,0.211428910076455,0.204410316606827,0.0406154172434533,0.0246216379476903,0.0416710774055057,0.340114349683026,0.36836093608312,0.343556362833524,0.0946588272859649,0.108291878332726,0.0923720358737094
"12","Chaotic","Chaotic Non-interactive",0.3586,0.393,0.4284,0.5344,0.508,0.5128,1.534,1.31466666666667,1.199,1.85038544038966,1.86910695823385,1.88408417250921,0.414533954546875,0.426094866270272,0.43534359564899,0.435688461898566,0.392666343018121,0.334246619484708,0.0845323678800261,0.0395346261326149,0.0239072677647394
"12","Chaotic Visual","Chaotic Non-interactive",1.57,1.433,1.3556,0.6464,0.604,0.5342,0.4122,0.423,0.3946,1.67191605916758,1.66802686717731,1.68358363513838,0.346707767893658,0.34573267017766,0.349633061041654,0.502901001550923,0.453086197528404,0.436027373892581,0.0372161694813555,0.073679117959789,0.0230644110316065
"12","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.3372,0.450666666666667,0.3344,0.8524,0.912333333333333,0.8396,2.5426,2.062,2.526,0.364671657037077,0.36756940897715,0.307466594531594,0.0505912615134249,0.0662328702804736,0.0698294638585409,0.481827513903114,0.445983471286001,0.401474980932406,0.129874463188767,0.154847981389636,0.131382308374608
"12","Periodic Fixed","Chaotic Non-interactive",0.1214,0.262666666666667,0.3712,0.3596,0.862666666666667,0.787,3.0412,3.32066666666667,2.1292,0.235729159516852,0.238644108625392,0.193831663358892,0.0392579385323907,0.053094645419885,0.0317879901499965,0.347299847138218,0.311262159969247,0.257821418413069,0.136693528057772,0.121750399164488,0.126570692702371
"13","Chaotic","Periodic Fixed",0.1954,0.171,0.229,0.4012,0.360666666666667,0.3448,2.115,2.09433333333333,1.5306,1.88408417250921,1.86910695823385,1.87285126180269,0.43534359564899,0.426094866270272,0.428407048614952,0.492590058460369,0.508851511511146,0.513304425651013,0.0302382963432379,0.020968412603558,0.00949758126662926
"13","Chaotic Visual","Periodic Fixed",1.3186,1.40433333333333,1.4768,0.5052,0.490333333333333,0.5454,0.3832,0.349,0.371,1.67191605916758,1.66802686717731,1.68358363513838,0.346707767893658,0.34573267017766,0.349633061041654,0.426321632121988,0.569794080053921,0.593295558786013,0.019952183099005,0.0487783741641082,0.0526206047543194
"13","Periodic Fadeout (SCT)","Periodic Fixed",0.2808,0.446333333333333,0.4486,0.9016,0.927,0.9068,3.2616,2.08033333333333,2.0882,0.353864811866773,0.385230286703363,0.377386149648287,0.059445638470063,0.0527739661255903,0.061680473641592,0.602778439998654,0.611415185155148,0.564260482254707,0.172938702313338,0.183740598091908,0.157126903950042
"13","Periodic Fixed","Periodic Fixed",0.25,0.438666666666667,0.4252,0.7212,0.879666666666667,0.8856,2.9144,2.048,2.0898,0.221633884755013,0.183867571162971,0.225472947072751,0.0369672497565723,0.0308525199859979,0.0404771794627858,0.486462113670244,0.449251645767671,0.471753400173715,0.141120192168523,0.136048505743107,0.12008561253214
"14","Chaotic","Chaotic Interactive",0.311,0.436666666666667,0.3426,0.4986,0.566333333333333,0.5018,1.616,1.316,1.482,1.86161835109618,1.86910695823385,1.85038544038966,0.421470501580913,0.426094866270272,0.414533954546875,0.435754319319024,0.448108412174836,0.382699205426803,0.0879845458261169,0.081726182241529,0.0673100909725963
"14","Chaotic Visual","Chaotic Interactive",1.352,1.62833333333333,1.4702,0.5438,0.608,0.5782,0.4018,0.373333333333333,0.3936,1.66024848319677,1.64858090722596,1.69525121110919,0.343782474745663,0.340857181597667,0.352558354189649,0.494536937298327,0.593484941262307,0.582643931080523,0.04689075298961,0.0422234552559471,0.0589366788525544
"14","Periodic Fadeout (SCT)","Chaotic Interactive",0.1012,0.270333333333333,0.3922,0.6092,0.846,0.8636,5.9408,3.195,2.2224,0.399013726368287,0.350596000755891,0.342634164589719,0.0589102592846759,0.0636922735512892,0.0755702416365436,0.435537516502374,0.383111490590027,0.392604376216813,0.140797113873495,0.134124196010883,0.10141963617093
"14","Periodic Fixed","Chaotic Interactive",0.2716,0.452666666666667,0.2442,0.6084,0.741,0.5988,2.323,1.65766666666667,2.4572,0.192300735707156,0.195175025682412,0.202109178452023,0.0360639097269958,0.0215586033403597,0.0472205373539406,0.303163173602438,0.35850831398962,0.338433200198782,0.125210889953452,0.137106125915188,0.145829397757238
"15","Chaotic","Periodic Fixed",0.3226,0.354666666666667,0.3668,0.4086,0.411333333333333,0.4438,1.2726,1.16033333333333,1.2162,1.89531708321572,1.88782847607805,1.83793424069761,0.442280142683029,0.43765577799367,0.405849227318422,0.326698439098797,0.338347946825505,0.31244824172413,0.0177285943110618,0.0205546359390717,0.0140069757908142
"15","Chaotic Visual","Periodic Fixed",1.4464,1.53366666666667,1.5958,0.5604,0.589333333333333,0.6044,0.3894,0.384,0.3796,1.67191605916758,1.64858090722596,1.6598224575944,0.346707767893658,0.340857181597667,0.344994129317944,0.491694544651007,0.553101799470477,0.474463146582818,0.0374031422419215,0.0392675074973457,0.0246923246230798
"15","Periodic Fadeout (SCT)","Periodic Fixed",0.226,0.428333333333333,0.4674,0.6846,0.883,0.9226,3.2056,2.08,1.977,0.393673354871692,0.350331024776753,0.353132648485025,0.0708630430995273,0.0749219409525001,0.057665040250975,0.585403212245751,0.557159128190238,0.518909385795511,0.133352842594012,0.152284052588433,0.156847385751565
"15","Periodic Fixed","Periodic Fixed",0.3828,0.464666666666667,0.5132,0.6558,0.657666666666667,0.7236,1.7636,1.582,1.449,0.194549397870111,0.203535404402807,0.18359887268599,0.0429937482957757,0.0461234251290341,0.0355048300731647,0.448345992861585,0.416660691973447,0.468896952945791,0.122423985905516,0.156943562999023,0.136549504810775
"17","Chaotic","Chaotic Interactive",0.2892,0.412666666666667,0.3412,0.4368,0.479666666666667,0.408,1.538,1.16466666666667,1.197,1.87285126180269,1.86910695823385,1.83793424069761,0.428407048614952,0.426094866270272,0.405849227318422,0.530562572298409,0.399242961555748,0.360696564464095,0.0506204554025111,0.0420261700138559,0.0331786089099148
"17","Chaotic Visual","Chaotic Interactive",1.543,1.32933333333333,1.4548,0.604,0.478333333333333,0.517,0.3898,0.369333333333333,0.3574,1.68358363513838,1.66802686717731,1.64815488162359,0.349633061041654,0.34573267017766,0.342068836169949,0.497749044444722,0.662577089845394,0.573600463008766,0.0577897740212294,0.0285839437170913,0.0267339380183254
"17","Periodic Fadeout (SCT)","Chaotic Interactive",0.1706,0.207666666666667,0.1656,0.6038,0.609,0.5198,3.5866,2.98366666666667,3.155,0.300116635463541,0.352229281165365,0.305111421897112,0.0471013298771563,0.0393718842757908,0.0678761951641248,0.810369073592733,0.422722907624691,0.477776718061474,0.129103886196613,0.0996374534086837,0.101972118161642
"17","Periodic Fixed","Chaotic Interactive",0.3876,0.379666666666667,0.5048,0.7264,0.680666666666667,0.722,1.8884,1.90966666666667,1.4332,0.191528644655755,0.199955793985414,0.181437437833847,0.0411786588807529,0.0413779965980445,0.025998409743969,0.420875853087481,0.384574664744223,0.321081987378797,0.123124123968105,0.101043943975565,0.0855232614565617
"18","Chaotic","Periodic Fixed",0.2788,0.333666666666667,0.1992,0.4444,0.414,0.348,1.6442,1.239,1.7518,1.83793424069761,1.90654999392224,1.86161835109618,0.405849227318422,0.449216689717067,0.421470501580913,0.264146295722006,0.284423423882959,0.269521122870554,0.0163880729147009,0.0177326865712539,0.015699716088031
"18","Chaotic Visual","Periodic Fixed",1.3606,1.316,1.608,0.5488,0.501666666666667,0.6182,0.4046,0.381333333333333,0.3848,1.68358363513838,1.64858090722596,1.67191605916758,0.349633061041654,0.340857181597667,0.346707767893658,0.461589115599274,0.388289492761927,0.402074278631534,0.0446582463420438,0.0362149029044095,0.0289706654697518
"18","Periodic Fadeout (SCT)","Periodic Fixed",0.2516,0.429,0.4286,0.7908,0.887333333333333,0.8796,3.1938,2.06866666666667,2.058,0.359010554665973,0.39887513326076,0.38612591260688,0.0673596767465343,0.0772615677474708,0.0652753731888248,0.357257488016424,0.4710024059429,0.294906592120444,0.0820388381185469,0.0789062549059344,0.0984568204912619
"18","Periodic Fixed","Periodic Fixed",0.4066,0.358,0.2638,0.8176,0.838,0.5662,2.0126,2.369,2.1554,0.211609512304091,0.202813246223775,0.247031253681637,0.043000792531725,0.0393291183935368,0.0369379051066598,0.249010835989853,0.341825490615109,0.346613538258647,0.0987538984657188,0.125835497855956,0.128399284592909
"19","Chaotic","Chaotic Non-interactive",0.1616,0.195,0.2296,0.4032,0.415666666666667,0.405,2.5256,2.20433333333333,1.8198,1.87285126180269,1.82963344090291,1.87285126180269,0.428407048614952,0.40005940916612,0.428407048614952,0.430120141817002,0.349985380319978,0.403992277041901,0.035964303869966,0.0265407848061656,0.0210104989550854
"19","Chaotic Visual","Chaotic Non-interactive",1.6726,1.90866666666667,1.7752,0.6164,0.669666666666667,0.6258,0.3704,0.351,0.353,1.64858090722596,1.64858090722596,1.66024848319677,0.340857181597667,0.340857181597667,0.343782474745663,0.420090923457756,0.438710611249013,0.495848299971338,0.03773872007098,0.0267084933104031,0.0345311427266856
"19","Periodic Fadeout (SCT)","Chaotic Non-interactive",0.2738,0.382,0.2898,0.9344,0.896,0.9066,3.4998,2.39066666666667,3.1666,0.447430349659632,0.408012966556845,0.37381428923025,0.0735803849296702,0.0627845254696258,0.0766543883343126,0.402078513501462,0.418605425437009,0.480767247615774,0.138285615013821,0.117710737088012,0.136547858488168
"19","Periodic Fixed","Chaotic Non-interactive",0.4685,0.409,0.2798,0.7765,0.827333333333333,0.9056,1.66925,2.06033333333333,3.2714,0.194534455110213,0.216017539598457,0.235669530502975,0.0273041557568895,0.0318716880901735,0.0326541213175086,0.252021923530043,0.248748870711663,0.236532632607088,0.11355672919514,0.0949268733956746,0.081853056601241
