"file_name","pp","day","date","task_code","training_phase","visual","trial_duration","samples_num","score","c","tau","pitch_error","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","score_delta","c_delta","tau_delta","pitch_error_delta"
"trial_log-200123-134624_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134624","25","Training",0,59.988,5438,0.619,0.672,0.24,1.086,"25","Chaotic Interactive","Chaotic Interactive Training",25,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134751_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134751","25","Training",0,59.995,5627,1.597,0.897,0.001,0.562,"25","Chaotic Interactive","Chaotic Interactive Training",26,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134914_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134914","25","Training",0,59.993,5695,1.029,0.792,0.078,0.77,"25","Chaotic Interactive","Chaotic Interactive Training",27,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135032_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135032","25","Training",0,59.995,5508,0.603,0.606,0.116,1.006,"25","Chaotic Interactive","Chaotic Interactive Training",28,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135144_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135144","25","Training",0,59.991,5528,0.58,0.601,0.299,1.037,"25","Chaotic Interactive","Chaotic Interactive Training",29,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135309_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135309","25","Training",0,59.999,5618,0.632,0.627,0.211,0.992,"25","Chaotic Interactive","Chaotic Interactive Training",30,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135756_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135756","25","Training",0,59.994,5427,0.599,0.652,-0.173,1.089,"25","Chaotic Interactive","Chaotic Interactive Training",31,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135911_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135911","25","Training",0,59.993,5441,0.631,0.64,-0.184,1.014,"25","Chaotic Interactive","Chaotic Interactive Training",32,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140025_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140025","25","Training",0,59.99,5564,0.52,0.557,0.003,1.072,"25","Chaotic Interactive","Chaotic Interactive Training",33,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140148_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140148","25","Training",0,59.986,5566,0.796,0.733,-0.062,0.921,"25","Chaotic Interactive","Chaotic Interactive Training",34,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140312_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140312","25","Training",0,59.998,5555,0.431,0.498,0.035,1.154,"25","Chaotic Interactive","Chaotic Interactive Training",35,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140428_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140428","25","Training",0,59.99,5610,0.592,0.613,0.143,1.035,"25","Chaotic Interactive","Chaotic Interactive Training",36,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140539_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140539","25","Training",0,59.991,5530,0.572,0.602,0.137,1.053,"25","Chaotic Interactive","Chaotic Interactive Training",37,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140700_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140700","25","Training",0,59.995,5598,0.569,0.542,-0.135,0.953,"25","Chaotic Interactive","Chaotic Interactive Training",38,NA,NA,NA,NA,NA,NA,NA,NA
