"file_name","pp","day","date","task_code","training_phase","visual","trial_duration","samples_num","score","c","tau","pitch_error","training_condition","Training","task_label","trial","pre_score","pre_c","pre_tau","pre_pitch_error","score_delta","c_delta","tau_delta","pitch_error_delta"
"trial_log-200123-132545_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132545","25","Training",0,59.988,5218,0.56,0.594,0.006,1.062,"25","Chaotic Interactive","Chaotic Interactive Training",11,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132702_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132702","25","Training",0,59.982,5462,0.546,0.584,0.011,1.07,"25","Chaotic Interactive","Chaotic Interactive Training",12,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132815_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132815","25","Training",0,59.991,5503,0.395,0.469,-0.158,1.188,"25","Chaotic Interactive","Chaotic Interactive Training",13,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-132929_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-132929","25","Training",0,59.989,5452,0.508,0.607,0.135,1.195,"25","Chaotic Interactive","Chaotic Interactive Training",14,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133039_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133039","25","Training",0,59.994,5299,0.383,0.568,-0.104,1.48,"25","Chaotic Interactive","Chaotic Interactive Training",15,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133150_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133150","25","Training",0,59.998,5110,0.324,0.524,0.213,1.617,"25","Chaotic Interactive","Chaotic Interactive Training",16,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133300_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133300","25","Training",0,59.992,5300,0.449,0.589,0.176,1.313,"25","Chaotic Interactive","Chaotic Interactive Training",17,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133410_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133410","25","Training",0,59.998,5314,0.335,0.542,0.189,1.617,"25","Chaotic Interactive","Chaotic Interactive Training",18,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133521_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133521","25","Training",0,59.987,5340,0.441,0.566,0.142,1.285,"25","Chaotic Interactive","Chaotic Interactive Training",19,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-133632_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-133632","25","Training",0,59.994,5358,0.415,0.533,-0.084,1.285,"25","Chaotic Interactive","Chaotic Interactive Training",20,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134111_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134111","25","Training",0,59.997,5253,0.479,0.628,-0.036,1.309,"25","Chaotic Interactive","Chaotic Interactive Training",21,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134225_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134225","25","Training",0,59.998,5198,0.527,0.555,0.168,1.052,"25","Chaotic Interactive","Chaotic Interactive Training",22,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134349_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134349","25","Training",0,59.995,5306,0.516,0.638,-0.073,1.238,"25","Chaotic Interactive","Chaotic Interactive Training",23,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134505_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134505","25","Training",0,59.992,5529,0.51,0.631,0.023,1.237,"25","Chaotic Interactive","Chaotic Interactive Training",24,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134624_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134624","25","Training",0,59.988,5438,0.619,0.672,0.24,1.086,"25","Chaotic Interactive","Chaotic Interactive Training",25,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134751_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134751","25","Training",0,59.995,5627,1.597,0.897,0.001,0.562,"25","Chaotic Interactive","Chaotic Interactive Training",26,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-134914_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-134914","25","Training",0,59.993,5695,1.029,0.792,0.078,0.77,"25","Chaotic Interactive","Chaotic Interactive Training",27,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135032_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135032","25","Training",0,59.995,5508,0.603,0.606,0.116,1.006,"25","Chaotic Interactive","Chaotic Interactive Training",28,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135144_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135144","25","Training",0,59.991,5528,0.58,0.601,0.299,1.037,"25","Chaotic Interactive","Chaotic Interactive Training",29,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135309_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135309","25","Training",0,59.999,5618,0.632,0.627,0.211,0.992,"25","Chaotic Interactive","Chaotic Interactive Training",30,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135756_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135756","25","Training",0,59.994,5427,0.599,0.652,-0.173,1.089,"25","Chaotic Interactive","Chaotic Interactive Training",31,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-135911_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-135911","25","Training",0,59.993,5441,0.631,0.64,-0.184,1.014,"25","Chaotic Interactive","Chaotic Interactive Training",32,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140025_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140025","25","Training",0,59.99,5564,0.52,0.557,0.003,1.072,"25","Chaotic Interactive","Chaotic Interactive Training",33,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140148_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140148","25","Training",0,59.986,5566,0.796,0.733,-0.062,0.921,"25","Chaotic Interactive","Chaotic Interactive Training",34,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140312_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140312","25","Training",0,59.998,5555,0.431,0.498,0.035,1.154,"25","Chaotic Interactive","Chaotic Interactive Training",35,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140428_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140428","25","Training",0,59.99,5610,0.592,0.613,0.143,1.035,"25","Chaotic Interactive","Chaotic Interactive Training",36,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140539_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140539","25","Training",0,59.991,5530,0.572,0.602,0.137,1.053,"25","Chaotic Interactive","Chaotic Interactive Training",37,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140700_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140700","25","Training",0,59.995,5598,0.569,0.542,-0.135,0.953,"25","Chaotic Interactive","Chaotic Interactive Training",38,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140810_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140810","25","Training",0,59.991,5583,0.62,0.648,0.029,1.045,"25","Chaotic Interactive","Chaotic Interactive Training",39,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-140924_task025_aud1_vis0_eps070_pp1_d1_.txt","1",1,"200123-140924","25","Training",0,59.993,5558,0.576,0.572,0.173,0.993,"25","Chaotic Interactive","Chaotic Interactive Training",40,NA,NA,NA,NA,NA,NA,NA,NA
"trial_log-200123-141253_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-141253","11","PostTest",0,59.999,5716,0.611,0.936,-0.051,1.533,"25","Chaotic Interactive","Periodic Fixed",1,0.5436,0.852,-0.0666,1.7218,0.123988226637233,9.85915492957747,-23.4234234234234,-10.9652689046347
"trial_log-200123-141400_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-141400","11","PostTest",0,59.997,5688,0.456,0.964,-0.165,2.114,"25","Chaotic Interactive","Periodic Fixed",2,0.5436,0.852,-0.0666,1.7218,-0.161147902869757,13.1455399061033,147.747747747748,22.7784876292252
"trial_log-200123-141506_task011_aud1_vis0_eps000_pp1_d1_test_SCT.txt","1",1,"200123-141506","11","PostTest",0,59.99,5668,0.541,0.818,0.155,1.512,"25","Chaotic Interactive","Periodic Fixed",3,0.5436,0.852,-0.0666,1.7218,-0.00478292862398811,-3.9906103286385,-332.732732732733,-12.1849227552561
"trial_log-200123-141634_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-141634","12","PostTest",0,59.99,5934,0.571,0.953,0.043,1.67,"25","Chaotic Interactive","Periodic Fadeout (SCT)",1,0.6042,0.9592,-0.0436,1.5912,-0.0549486924859318,-0.646371976647204,-198.623853211009,4.95223730517848
"trial_log-200123-141742_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-141742","12","PostTest",0,59.996,5903,0.687,0.966,-0.098,1.406,"25","Chaotic Interactive","Periodic Fadeout (SCT)",2,0.6042,0.9592,-0.0436,1.5912,0.137040714995035,0.708924103419519,124.770642201835,-11.6390145801911
"trial_log-200123-141847_task012_aud1_vis0_eps000_pp1_d1_test_periodic.txt","1",1,"200123-141847","12","PostTest",0,59.993,5906,0.537,0.938,0.025,1.747,"25","Chaotic Interactive","Periodic Fadeout (SCT)",3,0.6042,0.9592,-0.0436,1.5912,-0.111221449851043,-2.21017514595496,-157.339449541284,9.79135243841127
