FileName,PP,Day,Date,TaskCode,TrainingPhase,Visual,TrialDuration,SamplesNum,Score,C,tau,PitchError
trial_log-200124-114026_task012_aud1_vis0_eps000_pp1_d2_test_periodic.txt,1,2,200124-114026,12,Retention,0,59.992,5895,0.65,0.949,0.489,1.46
trial_log-200124-114135_task012_aud1_vis0_eps000_pp1_d2_test_periodic.txt,1,2,200124-114135,12,Retention,0,59.992,5895,0.444,0.941,-0.21,2.12
trial_log-200124-114244_task012_aud1_vis0_eps000_pp1_d2_test_periodic.txt,1,2,200124-114244,12,Retention,0,59.99,5931,0.721,0.94,0.372,1.305
trial_log-200124-114351_task012_aud1_vis0_eps000_pp1_d2_test_periodic.txt,1,2,200124-114351,12,Retention,0,59.991,5926,0.708,0.948,0.213,1.34
trial_log-200124-114458_task012_aud1_vis0_eps000_pp1_d2_test_periodic.txt,1,2,200124-114458,12,Retention,0,59.984,5943,0.704,0.961,-0.059,1.365
trial_log-200124-114627_task020_aud1_vis0_eps000_pp1_d2_test_chaotic.txt,1,2,200124-114627,20,Retention,0,59.992,5672,0.541,0.599,0.423,1.107
trial_log-200124-114732_task020_aud1_vis0_eps000_pp1_d2_test_chaotic.txt,1,2,200124-114732,20,Retention,0,59.993,5702,0.486,0.559,0.405,1.149
trial_log-200124-114840_task020_aud1_vis0_eps000_pp1_d2_test_chaotic.txt,1,2,200124-114840,20,Retention,0,59.992,5698,0.446,0.548,0.548,1.227
trial_log-200124-114946_task020_aud1_vis0_eps000_pp1_d2_test_chaotic.txt,1,2,200124-114946,20,Retention,0,59.993,5632,0.407,0.499,0.539,1.225
trial_log-200124-115058_task020_aud1_vis0_eps000_pp1_d2_test_chaotic.txt,1,2,200124-115058,20,Retention,0,59.993,5695,0.476,0.611,0.152,1.285
trial_log-200124-115231_task020_aud0_vis1_eps000_pp1_d2_test_visual.txt,1,2,200124-115231,20,Retention,1,59.982,5713,1.464,0.623,-0.088,0.425
trial_log-200124-115337_task020_aud0_vis1_eps000_pp1_d2_test_visual.txt,1,2,200124-115337,20,Retention,1,59.997,5608,1.451,0.617,0.076,0.425
trial_log-200124-115445_task020_aud0_vis1_eps000_pp1_d2_test_visual.txt,1,2,200124-115445,20,Retention,1,59.982,5633,1.49,0.633,0.051,0.425
trial_log-200124-115550_task020_aud0_vis1_eps000_pp1_d2_test_visual.txt,1,2,200124-115550,20,Retention,1,59.988,5636,1.593,0.65,0.267,0.408
trial_log-200124-115657_task020_aud0_vis1_eps000_pp1_d2_test_visual.txt,1,2,200124-115657,20,Retention,1,59.983,5630,1.382,0.666,0.051,0.482
trial_log-200203-150838_task020_aud0_vis1_eps000_pp4_d1_test_visual.txt,4,1,200203-150838,20,PreTest__,1,59.995,5713,1.899,0.674,0.231,0.355
trial_log-200203-150944_task020_aud0_vis1_eps000_pp4_d1_test_visual.txt,4,1,200203-150944,20,PreTest__,1,59.99,5771,1.558,0.55,0.2,0.353
trial_log-200203-151051_task020_aud0_vis1_eps000_pp4_d1_test_visual.txt,4,1,200203-151051,20,PreTest__,1,59.991,5518,1.937,0.604,0.121,0.312
trial_log-200203-151157_task020_aud0_vis1_eps000_pp4_d1_test_visual.txt,4,1,200203-151157,20,PreTest__,1,59.99,5619,1.74,0.586,-0.219,0.337
trial_log-200203-151332_task011_aud1_vis0_eps000_pp4_d1_test_SCT.txt,4,1,200203-151332,11,PreTest__,0,59.994,5688,0.521,0.911,0.085,1.747
trial_log-200203-151437_task011_aud1_vis0_eps000_pp4_d1_test_SCT.txt,4,1,200203-151437,11,PreTest__,0,59.992,5739,0.519,0.934,-0.102,1.801
trial_log-200203-151554_task011_aud1_vis0_eps000_pp4_d1_test_SCT.txt,4,1,200203-151554,11,PreTest__,0,59.997,5798,0.526,0.954,-0.274,1.814
trial_log-200203-151700_task011_aud1_vis0_eps000_pp4_d1_test_SCT.txt,4,1,200203-151700,11,PreTest__,0,59.978,5819,0.771,0.945,-0.013,1.225
trial_log-200203-151805_task011_aud1_vis0_eps000_pp4_d1_test_SCT.txt,4,1,200203-151805,11,PreTest__,0,59.978,5751,0.452,0.954,0.052,2.11
trial_log-200203-151936_task012_aud1_vis0_eps000_pp4_d1_test_periodic.txt,4,1,200203-151936,12,PreTest__,0,59.989,5756,0.396,0.954,-0.297,2.406
trial_log-200203-152042_task012_aud1_vis0_eps000_pp4_d1_test_periodic.txt,4,1,200203-152042,12,PreTest__,0,59.992,5767,0.366,0.936,-0.272,2.558
trial_log-200203-152152_task012_aud1_vis0_eps000_pp4_d1_test_periodic.txt,4,1,200203-152152,12,PreTest__,0,59.996,5945,0.356,0.931,-0.427,2.618
trial_log-200203-152257_task012_aud1_vis0_eps000_pp4_d1_test_periodic.txt,4,1,200203-152257,12,PreTest__,0,59.994,5913,0.439,0.934,-0.365,2.126
trial_log-200203-152404_task012_aud1_vis0_eps000_pp4_d1_test_periodic.txt,4,1,200203-152404,12,PreTest__,0,59.986,5929,0.432,0.93,0.364,2.154
trial_log-200203-152525_task020_aud1_vis0_eps000_pp4_d1_test_chaotic.txt,4,1,200203-152525,20,PreTest__,0,59.974,5701,0.303,0.484,-0.055,1.596
trial_log-200203-152633_task020_aud1_vis0_eps000_pp4_d1_test_chaotic.txt,4,1,200203-152633,20,PreTest__,0,59.993,5536,0.333,0.555,0.085,1.663
trial_log-200203-152738_task020_aud1_vis0_eps000_pp4_d1_test_chaotic.txt,4,1,200203-152738,20,PreTest__,0,59.998,5579,0.234,0.408,0.087,1.746
trial_log-200203-152843_task020_aud1_vis0_eps000_pp4_d1_test_chaotic.txt,4,1,200203-152843,20,PreTest__,0,59.992,5532,0.346,0.518,0.32,1.494
trial_log-200203-152948_task020_aud1_vis0_eps000_pp4_d1_test_chaotic.txt,4,1,200203-152948,20,PreTest__,0,59.997,5625,0.351,0.59,0.377,1.682
trial_log-200203-153555_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-153555,25,Training_,0,59.981,5564,0.45,0.563,-0.181,1.252
trial_log-200203-153733_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-153733,25,Training_,0,59.994,5577,0.455,0.591,-0.102,1.298
trial_log-200203-153854_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-153854,25,Training_,0,59.959,5361,0.335,0.533,0.35,1.592
trial_log-200203-154005_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-154005,25,Training_,0,59.993,5405,0.31,0.504,0.427,1.626
trial_log-200203-154120_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-154120,25,Training_,0,59.982,5319,0.256,0.46,-0.004,1.8
trial_log-200203-154242_task025_aud1_vis0_eps070_pp4_d1_.txt,4,1,200203-154242,25,Training_,0,59.99,5529,0.457,0.579,-0.012,1.266
