raw data file,score,cmax,tau,rmse
trial_log-200122-123135_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.218,   0.581,  -0.139,   2.664
trial_log-200122-123246_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.265,   0.567,  -0.012,   2.140
trial_log-200122-123359_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.213,   0.506,  -0.090,   2.380
trial_log-200122-123508_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.186,   0.544,  -0.098,   2.927
trial_log-200122-124448_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.198,   0.503,   0.023,   2.536
trial_log-200122-124609_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.514,   0.714,   0.017,   1.388
trial_log-200122-124732_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.192,   0.498,  -0.151,   2.595
trial_log-200122-124917_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.189,   0.503,  -0.112,   2.657
trial_log-200122-125035_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.213,   0.510,  -0.088,   2.393
trial_log-200122-125150_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.158,   0.408,  -0.176,   2.588
trial_log-200122-125302_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.236,   0.608,  -0.209,   2.575
trial_log-200122-125414_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.231,   0.579,  -0.122,   2.511
trial_log-200122-125529_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.216,   0.533,   0.080,   2.466
trial_log-200122-125645_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.118,   0.415,  -0.071,   3.531
trial_log-200122-130033_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.163,   0.524,  -0.117,   3.212
trial_log-200122-130143_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.217,   0.580,  -0.092,   2.677
trial_log-200122-130254_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.296,   0.590,   0.013,   1.996
trial_log-200122-130412_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.356,   0.656,   0.047,   1.846
trial_log-200122-130525_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.324,   0.670,   0.060,   2.069
trial_log-200122-130635_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.214,   0.494,  -0.051,   2.309
trial_log-200122-130748_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.157,   0.420,   0.009,   2.678
trial_log-200122-130901_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.219,   0.617,   0.022,   2.816
trial_log-200122-131011_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.170,   0.478,  -0.015,   2.815
trial_log-200122-131125_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.173,   0.580,  -0.054,   3.359
trial_log-200122-131821_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.378,   0.751,  -0.027,   1.990
trial_log-200122-131935_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.307,   0.748,  -0.063,   2.439
trial_log-200122-132045_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.239,   0.624,   0.035,   2.609
trial_log-200122-132154_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.209,   0.648,   0.043,   3.103
trial_log-200122-132317_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.144,   0.410,  -0.033,   2.854
trial_log-200122-132435_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.195,   0.539,  -0.100,   2.764
trial_log-200122-132548_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.198,   0.502,   0.104,   2.538
trial_log-200122-132658_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.221,   0.616,   0.041,   2.792
trial_log-200122-132808_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.119,   0.430,   0.034,   3.618
trial_log-200122-132929_task030_aud1_vis0_eps000_pp7_d1_.txt,   0.237,   0.737,  -0.037,   3.110
trial_log-200123-094347_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.172,   0.427,  -0.282,   2.484
trial_log-200123-094509_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.300,   0.595,  -0.172,   1.979
trial_log-200123-094618_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.362,   0.633,  -0.086,   1.748
trial_log-200123-094726_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.393,   0.489,  -0.105,   1.242
trial_log-200123-094832_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.451,   0.534,  -0.080,   1.184
trial_log-200123-094939_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.364,   0.493,  -0.047,   1.357
trial_log-200123-095045_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.468,   0.639,  -0.137,   1.366
trial_log-200123-095151_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.352,   0.552,  -0.038,   1.571
trial_log-200123-095256_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.372,   0.493,  -0.036,   1.326
trial_log-200123-095402_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.352,   0.563,  -0.087,   1.598
trial_log-200123-095735_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.412,   0.608,  -0.058,   1.474
trial_log-200123-095841_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.351,   0.710,  -0.069,   2.021
trial_log-200123-095948_task030_aud1_vis0_eps000_pp8_d1_.txt,   0.297,   0.595,  -0.064,   2.001
