"pp","Task Label","Training","c Delta% PostTest","c Delta% Retention","Pitch Error Delta% PostTest","Pitch Error Delta% Retention","Score Delta% PostTest","Score Delta% Retention"
14,"Chaotic","Chaotic Interactive",13.5847038374114,0.641797031688736,-18.5643564356436,-8.2920792079208,40.4072883172562,10.1607717041801
14,"Chaotic Visual","Chaotic Interactive",11.8058109599117,6.32585509378448,-7.08478513356561,-2.04081632653061,20.4388560157791,8.74260355029585
14,"Periodic Fadeout (SCT)","Chaotic Interactive",38.8706500328299,41.7596848325673,-46.2193643953676,-62.5908968489092,167.127799736495,287.549407114625
14,"Periodic Fixed","Chaotic Interactive",21.7948717948718,-1.57790927021697,-28.6411249820634,5.77701248385708,66.6666666666667,-10.0883652430044
15,"Chaotic","Periodic Fixed",0.668950889215201,8.61478218306411,-8.82183456440883,-4.43187175860443,9.94007026245093,13.7011779293242
15,"Chaotic Visual","Periodic Fixed",5.16297882464905,7.85153461812991,-1.38674884437597,-2.51669234720083,6.03337020648969,10.329092920354
15,"Periodic Fadeout (SCT)","Periodic Fixed",28.9804265264388,34.7648261758691,-35.1135512852508,-38.3266783129523,89.5280235988201,106.814159292035
15,"Periodic Fixed","Periodic Fixed",0.284639625902208,10.3385178408051,-10.2971195282377,-17.8385121342708,21.3862765586904,34.0647857889237
17,"Chaotic","Chaotic Interactive",9.81379731379731,-6.59340659340659,-24.2739488513221,-22.1716514954486,42.6924850161364,17.9806362378976
17,"Chaotic Visual","Chaotic Interactive",-20.8057395143488,-14.4039735099338,-5.25055584060201,-8.31195484864032,-13.8474832577231,-5.71613739468567
17,"Periodic Fadeout (SCT)","Chaotic Interactive",0.861212321960911,-13.9118913547532,-16.8107213888734,-12.0336809234372,21.727237202032,-2.93083235638922
17,"Periodic Fixed","Chaotic Interactive",-6.29588839941262,-0.605726872246691,1.12617383322743,-24.1050624867613,-2.04678362573098,30.2373581011352
18,"Chaotic","Periodic Fixed",-6.84068406840684,-21.6921692169217,-24.6442038681426,6.54421603211288,19.6795791487327,-28.5509325681492
18,"Chaotic Visual","Periodic Fixed",-8.58843537414965,12.6457725947522,-5.75053550832097,-4.89372219476025,-3.27796560341026,18.1831544906659
18,"Periodic Fadeout (SCT)","Periodic Fixed",12.2070477153937,11.2291350531108,-35.2286722190912,-35.562652639489,70.5087440381558,70.3497615262321
18,"Periodic Fixed","Periodic Fixed",2.49510763209393,-30.7485322896282,17.7084368478585,7.09529961244161,-11.952779144122,-35.120511559272
19,"Chaotic","Chaotic Non-interactive",3.09193121693122,0.446428571428564,-12.7204096716292,-27.9458346531517,20.6683168316832,42.0792079207921
19,"Chaotic Visual","Chaotic Non-interactive",8.64157473502055,1.52498377676834,-5.23758099352053,-4.6976241900648,14.1137550320858,6.13416238192036
19,"Periodic Fadeout (SCT)","Chaotic Non-interactive",-4.10958904109589,-2.97517123287671,-31.6913347429377,-9.52054403108749,39.517896274653,5.8436815193572
19,"Periodic Fixed","Chaotic Non-interactive",6.54646919939902,16.6258853831294,23.428685537417,95.9802306425041,-12.7001067235859,-40.2774813233725
20,"Chaotic","Chaotic Non-interactive",0.310332238043078,15.6078860898138,-11.7739157664005,-26.7496477219352,13.7761377613776,56.8265682656826
20,"Chaotic Visual","Chaotic Non-interactive",-11.4958290481088,2.36544394926295,0.450196961170509,-2.25098480585256,-12.233827220468,4.74860335195531
20,"Periodic Fadeout (SCT)","Chaotic Non-interactive",6.13890846448986,6.62438336856942,-2.01650576144504,-10.9701027717222,2.04841713221602,12.122905027933
20,"Periodic Fixed","Chaotic Non-interactive",-3.11306185483215,-20.848573518654,-2.76460614420782,-17.4497801534615,0.392596747055528,-4.87941671340437
21,"Chaotic","Periodic Fixed",9.48310948310949,16.4835164835165,-29.6190893169877,-19.4505253940455,55.4154302670623,49.6290801186944
