"pp","task_label","Training","score_PostTest","score_PreTest","score_Retention","c_PostTest","c_PreTest","c_Retention","pitch_error_PostTest","pitch_error_PreTest","pitch_error_Retention"
22,"Chaotic","Periodic Fixed",0.326333333333333,0.124,0.3024,0.483666666666667,0.362,0.4822,1.50133333333333,3.039,1.627
22,"Chaotic Visual","Periodic Fixed",1.16933333333333,1.29,1.2288,0.465333333333333,0.567,0.5088,0.400666666666667,0.441,0.4166
22,"Periodic Fadeout (SCT)","Periodic Fixed",0.326333333333333,0.2216,0.422,0.860333333333333,0.7286,0.8802,2.63766666666667,3.373,2.1592
22,"Periodic Fixed","Periodic Fixed",0.452333333333333,0.2548,0.283,0.829333333333333,0.7606,0.8116,1.84166666666667,3.0524,2.9246
23,"Chaotic","Chaotic Non-interactive",0.418666666666667,0.3504,0.3544,0.521666666666667,0.5034,0.5166,1.251,1.4364,1.4558
23,"Chaotic Visual","Chaotic Non-interactive",1.253,1.3796,1.5186,0.520666666666667,0.6186,0.5732,0.417666666666667,0.4498,0.3866
23,"Periodic Fadeout (SCT)","Chaotic Non-interactive",0.484666666666667,0.5446,0.6486,0.927333333333333,0.9362,0.9378,2.077,1.7618,1.4694
23,"Periodic Fixed","Chaotic Non-interactive",0.636333333333333,0.5514,0.4444,0.927666666666667,0.8448,0.9218,1.51133333333333,1.5338,2.0986
24,"Chaotic","Periodic Fixed",0.346666666666667,0.3564,0.345,0.502,0.4496,0.5376,1.466,1.321,1.5818
24,"Chaotic Visual","Periodic Fixed",1.63266666666667,1.6964,1.7822,0.644333333333333,0.6448,0.7242,0.395666666666667,0.38,0.4058
24,"Periodic Fadeout (SCT)","Periodic Fixed",0.724,0.5392,0.5796,0.963666666666667,0.9286,0.9574,1.35866666666667,1.874,1.6932
24,"Periodic Fixed","Periodic Fixed",0.471333333333333,0.5272,0.4258,0.906,0.8782,0.7822,1.92866666666667,1.7326,1.8348
25,"Chaotic","Chaotic Interactive",0.468,0.2888,0.3834,0.499333333333333,0.4414,0.4862,1.06666666666667,1.5684,1.2754
25,"Chaotic Visual","Chaotic Interactive",1.68266666666667,1.8062,2.0038,0.609333333333333,0.6564,0.698,0.362333333333333,0.3636,0.3484
25,"Periodic Fadeout (SCT)","Chaotic Interactive",0.318,0.227,0.3558,0.852,0.7602,0.8634,2.68666666666667,3.4734,2.486
25,"Periodic Fixed","Chaotic Interactive",0.517666666666667,0.3236,0.5194,0.726666666666667,0.7028,0.7766,1.40833333333333,2.2046,1.614
26,"Chaotic","Chaotic Interactive",0.227,0.2116,0.476,0.402666666666667,0.44,0.5574,2.13266666666667,2.4554,1.185
26,"Chaotic Visual","Chaotic Interactive",1.46433333333333,1.4746,1.5818,0.547333333333333,0.5624,0.6494,0.373666666666667,0.3802,0.4104
26,"Periodic Fadeout (SCT)","Chaotic Interactive",0.325333333333333,0.239,0.2658,0.822,0.8062,0.7498,2.68033333333333,3.5166,2.8612
26,"Periodic Fixed","Chaotic Interactive",0.348666666666667,0.2018,0.5586,0.646,0.5742,0.8218,2.099,3.1282,1.5046
27,"Chaotic","Periodic Fixed",0.136333333333333,0.13,0.121,0.421666666666667,0.3944,0.2778,3.18533333333333,3.041,2.317
27,"Chaotic Visual","Periodic Fixed",1.04766666666667,1.1516,1.0218,0.478,0.5012,0.4408,0.457,0.4404,0.4324
27,"Periodic Fadeout (SCT)","Periodic Fixed",0.141,0.1536,0.1984,0.857333333333333,0.7506,0.8924,6.38,4.8984,4.5294
27,"Periodic Fixed","Periodic Fixed",0.264333333333333,0.0608,0.183,0.75,0.2008,0.5542,2.91533333333333,3.4178,3.1684
28,"Chaotic","Chaotic Interactive",0.408666666666667,0.322,0.363,0.482333333333333,0.4278,0.478,1.18266666666667,1.3406,1.333
28,"Chaotic Visual","Chaotic Interactive",1.493,1.621,1.8388,0.579666666666667,0.6352,0.7364,0.388666666666667,0.3912,0.4006
28,"Periodic Fadeout (SCT)","Chaotic Interactive",0.467,0.4846,0.3802,0.935333333333333,0.9208,0.9104,2.00666666666667,1.923,2.406
28,"Periodic Fixed","Chaotic Interactive",0.273333333333333,0.2608,0.4574,0.475,0.4424,0.7004,1.733,1.7012,1.5328
30,"Chaotic","Chaotic Interactive",0.501333333333333,0.2746,0.3924,0.52,0.4008,0.4526,1.037,1.4968,1.1684
30,"Chaotic Visual","Chaotic Interactive",1.42533333333333,1.5482,1.5332,0.493333333333333,0.543,0.5156,0.346666666666667,0.3528,0.337
30,"Periodic Fadeout (SCT)","Chaotic Interactive",0.246333333333333,0.1006,0.153,0.74,0.385,0.4976,3.15766666666667,3.818,3.264
30,"Periodic Fixed","Chaotic Interactive",0.305333333333333,0.0976,0.0834,0.541333333333333,0.1624,0.2348,1.81133333333333,1.8054,2.8334
